# Name of benchmark/experiment: Benchmark 3
# Case number: 0 
# Instellation (S_earth): 1
# XCO2 (ppm): 280
# Obliquity (degrees): 23.5

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# Diff = annually averaged meridional diffusion coefficient (W m^-2 K^-1)


# Lat Tsurf Asurf ATOA OLR fice fclo Diff
-88.5 293.78 0.2424 0.2424 264.85 0.0026 0.0000 0.5000
-85.5 293.70 0.2410 0.2410 264.77 0.0027 0.0000 0.5000
-82.5 293.55 0.2506 0.2506 264.59 0.0027 0.0000 0.5000
-79.5 293.32 0.2477 0.2477 264.33 0.0028 0.0000 0.5000
-76.5 293.02 0.2559 0.2559 264.00 0.0029 0.0000 0.5000
-73.5 292.66 0.2523 0.2523 263.59 0.0031 0.0000 0.5000
-70.5 292.24 0.2600 0.2600 263.11 0.0033 0.0000 0.5000
-67.5 291.77 0.2560 0.2560 262.57 0.0036 0.0000 0.5000
-64.5 291.25 0.2540 0.2540 261.97 0.0038 0.0000 0.5000
-61.5 290.70 0.2592 0.2592 261.33 0.0042 0.0000 0.5000
-58.5 290.12 0.2571 0.2571 260.65 0.0046 0.0000 0.5000
-55.5 289.53 0.2621 0.2621 259.95 0.0058 0.0000 0.5000
-52.5 288.92 0.2600 0.2600 259.22 0.0064 0.0000 0.5000
-49.5 288.32 0.2645 0.2645 258.48 0.0071 0.0000 0.5000
-46.5 287.73 0.2700 0.2700 257.74 0.0078 0.0000 0.5000
-43.5 287.16 0.2665 0.2665 256.99 0.0086 0.0000 0.5000
-40.5 286.62 0.2710 0.2710 256.25 0.0094 0.0000 0.5000
-37.5 286.12 0.2680 0.2680 255.57 0.0103 0.0000 0.5000
-34.5 285.67 0.2712 0.2712 254.93 0.0111 0.0000 0.5000
-31.5 285.27 0.2736 0.2736 254.35 0.0118 0.0000 0.5000
-28.5 284.93 0.2767 0.2767 253.87 0.0125 0.0000 0.5000
-25.5 284.65 0.2716 0.2716 253.47 0.0132 0.0000 0.5000
-22.5 284.42 0.2678 0.2678 253.11 0.0137 0.0000 0.5000
-19.5 284.23 0.2650 0.2650 252.83 0.0142 0.0000 0.5000
-16.5 284.07 0.2629 0.2629 252.61 0.0145 0.0000 0.5000
-13.5 283.96 0.2613 0.2613 252.44 0.0148 0.0000 0.5000
-10.5 283.87 0.2600 0.2600 252.30 0.0151 0.0000 0.5000
-7.5 283.81 0.2591 0.2591 252.20 0.0152 0.0000 0.5000
-4.5 283.77 0.2585 0.2585 252.14 0.0153 0.0000 0.5000
-1.5 283.75 0.2582 0.2582 252.11 0.0154 0.0000 0.5000
1.5 283.75 0.2582 0.2582 252.11 0.0154 0.0000 0.5000
4.5 283.77 0.2585 0.2585 252.14 0.0153 0.0000 0.5000
7.5 283.81 0.2591 0.2591 252.20 0.0152 0.0000 0.5000
10.5 283.87 0.2600 0.2600 252.30 0.0151 0.0000 0.5000
13.5 283.96 0.2613 0.2613 252.44 0.0148 0.0000 0.5000
16.5 284.07 0.2629 0.2629 252.61 0.0145 0.0000 0.5000
19.5 284.23 0.2650 0.2650 252.83 0.0142 0.0000 0.5000
22.5 284.42 0.2678 0.2678 253.11 0.0137 0.0000 0.5000
25.5 284.65 0.2716 0.2716 253.47 0.0132 0.0000 0.5000
28.5 284.93 0.2767 0.2767 253.87 0.0125 0.0000 0.5000
31.5 285.27 0.2736 0.2736 254.35 0.0118 0.0000 0.5000
34.5 285.67 0.2712 0.2712 254.93 0.0111 0.0000 0.5000
37.5 286.12 0.2680 0.2680 255.57 0.0103 0.0000 0.5000
40.5 286.62 0.2710 0.2710 256.25 0.0094 0.0000 0.5000
43.5 287.16 0.2665 0.2665 256.99 0.0086 0.0000 0.5000
46.5 287.73 0.2700 0.2700 257.74 0.0078 0.0000 0.5000
49.5 288.32 0.2645 0.2645 258.48 0.0071 0.0000 0.5000
52.5 288.92 0.2600 0.2600 259.22 0.0064 0.0000 0.5000
55.5 289.53 0.2621 0.2621 259.95 0.0058 0.0000 0.5000
58.5 290.12 0.2571 0.2571 260.65 0.0046 0.0000 0.5000
61.5 290.70 0.2592 0.2592 261.33 0.0042 0.0000 0.5000
64.5 291.25 0.2540 0.2540 261.97 0.0038 0.0000 0.5000
67.5 291.77 0.2560 0.2560 262.57 0.0036 0.0000 0.5000
70.5 292.24 0.2600 0.2600 263.11 0.0033 0.0000 0.5000
73.5 292.66 0.2523 0.2523 263.59 0.0031 0.0000 0.5000
76.5 293.02 0.2559 0.2559 264.00 0.0029 0.0000 0.5000
79.5 293.32 0.2477 0.2477 264.33 0.0028 0.0000 0.5000
82.5 293.55 0.2506 0.2506 264.59 0.0027 0.0000 0.5000
85.5 293.70 0.2410 0.2410 264.77 0.0027 0.0000 0.5000
88.5 293.78 0.2424 0.2424 264.85 0.0026 0.0000 0.5000
