 #Name of benchmark/experiment: Experiment 1 (warm start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
0  8.00000E-01   0.0 280.  218.799  90.0   0.0   0.0 -90.0  0.50  111.398
1  8.25000E-01   0.0 280.  222.079  90.0   0.0   0.0 -90.0  0.50  115.655
2  8.50000E-01   0.0 280.  224.371  90.0   0.0   0.0 -90.0  0.50  119.750
3  8.75000E-01   0.0 280.  226.642  90.0   0.0   0.0 -90.0  0.50  123.945
4  9.00000E-01   0.0 280.  228.956  90.0   0.0   0.0 -90.0  0.50  128.248
5  9.25000E-01   0.0 280.  233.692  90.0   0.0   0.0 -90.0  0.50  137.096
6  9.50000E-01   0.0 280.  238.251  90.0   0.0   0.0 -90.0  0.50  145.750
7  9.75000E-01   0.0 280.  276.001  90.0  52.1 -52.1 -90.0  0.50  219.831
8  1.00000E+00   0.0 280.  279.141  90.0  55.8 -55.8 -90.0  0.50  225.266
9  1.02500E+00   0.0 280.  281.800  90.0  58.9 -58.9 -90.0  0.50  229.620
10 1.05000E+00   0.0 280.  284.878  90.0  62.9 -62.9 -90.0  0.50  234.605
11 1.07500E+00   0.0 280.  287.063  90.0  64.9 -64.9 -90.0  0.50  237.731
12 1.10000E+00   0.0 280.  291.125  90.0  69.6 -69.6 -90.0  0.50  243.188
13 1.12500E+00   0.0 280.  296.701  90.0  73.6 -73.6 -90.0  0.50  249.126
14 1.15000E+00   0.0 280.  363.125  90.0  90.0 -90.0 -90.0  0.50  282.108
15 1.17500E+00   0.0 280.  366.636  90.0  90.0 -90.0 -90.0  0.50  283.063
16 1.20000E+00   0.0 280.  369.286  90.0  90.0 -90.0 -90.0  0.50  283.737
17 1.22500E+00   0.0 280.  371.763  90.0  90.0 -90.0 -90.0  0.50  284.298
18 1.25000E+00   0.0 280.  373.761  90.0  90.0 -90.0 -90.0  0.50  284.688

19 8.00000E-01  10.0 280.  218.901  90.0   0.0   0.0 -90.0  0.50  111.519
20 8.25000E-01  10.0 280.  222.059  90.0   0.0   0.0 -90.0  0.50  115.732
21 8.50000E-01  10.0 280.  224.346  90.0   0.0   0.0 -90.0  0.50  119.865
22 8.75000E-01  10.0 280.  226.661  90.0   0.0   0.0 -90.0  0.50  124.107
23 9.00000E-01  10.0 280.  229.094  90.0   0.0   0.0 -90.0  0.50  128.606
24 9.25000E-01  10.0 280.  233.875  90.0   0.0   0.0 -90.0  0.50  137.530
25 9.50000E-01  10.0 280.  238.432  90.0   0.0   0.0 -90.0  0.50  146.158
26 9.75000E-01  10.0 280.  276.312  90.0  53.1 -53.1 -90.0  0.50  220.502
27 1.00000E+00  10.0 280.  279.131  90.0  56.7 -56.7 -90.0  0.50  225.430
28 1.02500E+00  10.0 280.  281.857  90.0  60.1 -60.1 -90.0  0.50  229.956
29 1.05000E+00  10.0 280.  284.514  90.0  63.5 -63.5 -90.0  0.50  234.200
30 1.07500E+00  10.0 280.  286.917  90.0  66.4 -66.4 -90.0  0.50  237.802
31 1.10000E+00  10.0 280.  290.025  90.0  70.3 -70.3 -90.0  0.50  242.130
32 1.12500E+00  10.0 280.  295.596  90.0  75.8 -75.8 -90.0  0.50  248.386
33 1.15000E+00  10.0 280.  364.539  90.0  90.0 -90.0 -90.0  0.50  282.624
34 1.17500E+00  10.0 280.  367.910  90.0  90.0 -90.0 -90.0  0.50  283.495
35 1.20000E+00  10.0 280.  370.791  90.0  90.0 -90.0 -90.0  0.50  284.139
36 1.22500E+00  10.0 280.  373.042  90.0  90.0 -90.0 -90.0  0.50  284.615
37 1.25000E+00  10.0 280.  375.032  90.0  90.0 -90.0 -90.0  0.50  284.952

38 8.00000E-01  20.0 280.  218.927  90.0   0.0   0.0 -90.0  0.50  111.899
39 8.25000E-01  20.0 280.  222.084  90.0   0.0   0.0 -90.0  0.50  116.189
40 8.50000E-01  20.0 280.  224.677  90.0   0.0   0.0 -90.0  0.50  120.872
41 8.75000E-01  20.0 280.  227.579  90.0   0.0   0.0 -90.0  0.50  126.164
42 9.00000E-01  20.0 280.  231.166  90.0   0.0   0.0 -90.0  0.50  132.754
43 9.25000E-01  20.0 280.  234.895  90.0   0.0   0.0 -90.0  0.50  139.679
44 9.50000E-01  20.0 280.  239.091  90.0   0.0   0.0 -90.0  0.50  147.565
45 9.75000E-01  20.0 280.  276.404  90.0  55.4 -55.4 -90.0  0.50  220.878
46 1.00000E+00  20.0 280.  279.195  90.0  59.8 -59.8 -90.0  0.50  226.028
47 1.02500E+00  20.0 280.  281.996  90.0  64.6 -64.6 -90.0  0.50  230.789
48 1.05000E+00  20.0 280.  284.651  90.0  69.7 -69.7 -90.0  0.50  235.102
49 1.07500E+00  20.0 280.  287.028  90.0  74.9 -74.9 -90.0  0.50  238.764
50 1.10000E+00  20.0 280.  289.534  90.0  84.4 -84.4 -90.0  0.50  242.419
51 1.12500E+00  20.0 280.  292.770  90.0  90.0 -90.0 -90.0  0.50  246.579
52 1.15000E+00  20.0 280.  299.795  90.0  90.0 -90.0 -90.0  0.50  253.821
53 1.17500E+00  20.0 280.  372.228  90.0  90.0 -90.0 -90.0  0.50  284.590
54 1.20000E+00  20.0 280.  374.904  90.0  90.0 -90.0 -90.0  0.50  285.012
55 1.22500E+00  20.0 280.  377.064  90.0  90.0 -90.0 -90.0  0.50  285.312
56 1.25000E+00  20.0 280.  378.854  90.0  90.0 -90.0 -90.0  0.50  285.555

57 8.00000E-01  30.0 280.  219.420  90.0   0.0   0.0 -90.0  0.50  113.376
58 8.25000E-01  30.0 280.  222.996  90.0   0.0   0.0 -90.0  0.50  118.354
59 8.50000E-01  30.0 280.  225.747  90.0   0.0   0.0 -90.0  0.50  123.279
60 8.75000E-01  30.0 280.  228.702  90.0   0.0   0.0 -90.0  0.50  128.614
61 9.00000E-01  30.0 280.  232.161  90.0   0.0   0.0 -90.0  0.50  134.908
62 9.25000E-01  30.0 280.  235.707  90.0   0.0   0.0 -90.0  0.50  141.434
63 9.50000E-01  30.0 280.  239.629  90.0   0.0   0.0 -90.0  0.50  148.745
64 9.75000E-01  30.0 280.  244.828  90.0   0.0   0.0 -90.0  0.50  158.582
65 1.00000E+00  30.0 280.  280.076  90.0  75.5 -75.5 -90.0  0.50  228.206
66 1.02500E+00  30.0 280.  282.603  90.0  90.0 -90.0 -90.0  0.50  232.773
67 1.05000E+00  30.0 280.  284.855  90.0  90.0 -90.0 -90.0  0.50  236.448
68 1.07500E+00  30.0 280.  287.027  90.0  90.0 -90.0 -90.0  0.50  239.809
69 1.10000E+00  30.0 280.  289.181  90.0  90.0 -90.0 -90.0  0.50  242.975
70 1.12500E+00  30.0 280.  291.347  90.0  90.0 -90.0 -90.0  0.50  246.034
71 1.15000E+00  30.0 280.  293.855  90.0  90.0 -90.0 -90.0  0.50  249.248
72 1.17500E+00  30.0 280.  299.798  90.0  90.0 -90.0 -90.0  0.50  255.368
73 1.20000E+00  30.0 280.  381.248  90.0  90.0 -90.0 -90.0  0.50  285.885
74 1.22500E+00  30.0 280.  382.745  90.0  90.0 -90.0 -90.0  0.50  286.072
75 1.25000E+00  30.0 280.  384.002  90.0  90.0 -90.0 -90.0  0.50  286.239

