 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
0  9.00000E-01   0.0 280.  226.504  90.0   0.0   0.0 -90.0  0.50  127.471
1  9.25000E-01   0.0 280.  233.705  90.0   0.0   0.0 -90.0  0.50  137.102
2  9.50000E-01   0.0 280.  238.251  90.0   0.0   0.0 -90.0  0.50  145.750
3  9.75000E-01   0.0 280.  276.001  90.0  52.1 -52.1 -90.0  0.50  219.831
4  1.00000E+00   0.0 280.  279.141  90.0  55.8 -55.8 -90.0  0.50  225.266
5  1.02500E+00   0.0 280.  281.800  90.0  58.9 -58.9 -90.0  0.50  229.620
6  1.05000E+00   0.0 280.  284.878  90.0  62.9 -62.9 -90.0  0.50  234.605
7  1.07500E+00   0.0 280.  287.063  90.0  64.9 -64.9 -90.0  0.50  237.731
8  1.10000E+00   0.0 280.  291.125  90.0  69.6 -69.6 -90.0  0.50  243.188
9  1.12500E+00   0.0 280.  296.701  90.0  73.6 -73.6 -90.0  0.50  249.126
10 1.15100E+00   0.0 280.  363.253  90.0  90.0 -90.0 -90.0  0.50  282.138
11 1.17500E+00   0.0 280.  366.638  90.0  90.0 -90.0 -90.0  0.50  283.066
12 1.20000E+00   0.0 280.  369.286  90.0  90.0 -90.0 -90.0  0.50  283.737
13 1.22500E+00   0.0 280.  371.763  90.0  90.0 -90.0 -90.0  0.50  284.298
14 1.25000E+00   0.0 280.  373.761  90.0  90.0 -90.0 -90.0  0.50  284.688
15 1.27500E+00   0.0 280.  375.613  90.0  90.0 -90.0 -90.0  0.50  285.015
16 1.30000E+00   0.0 280.  377.111  90.0  90.0 -90.0 -90.0  0.50  285.265
17 1.32500E+00   0.0 280.  378.497  90.0  90.0 -90.0 -90.0  0.50  285.481
18 1.35000E+00   0.0 280.  379.625  90.0  90.0 -90.0 -90.0  0.50  285.625
19 1.37500E+00   0.0 280.  380.579  90.0  90.0 -90.0 -90.0  0.50  285.750
20 1.40200E+00   0.0 280.  381.497  90.0  90.0 -90.0 -90.0  0.50  285.870
21 1.42500E+00   0.0 280.  382.237  90.0  90.0 -90.0 -90.0  0.50  285.954
22 1.45000E+00   0.0 280.  382.800  90.0  90.0 -90.0 -90.0  0.50  286.021
23 1.47500E+00   0.0 280.  383.390  90.0  90.0 -90.0 -90.0  0.50  286.109
24 1.50000E+00   0.0 280.  383.954  90.0  90.0 -90.0 -90.0  0.50  286.183

25 9.00000E-01  10.0 280.  266.273  90.0  39.7 -39.7 -90.0  0.50  201.250
26 9.25000E-01  10.0 280.  269.973  90.0  44.7 -44.7 -90.0  0.50  208.440
27 9.50000E-01  10.0 280.  273.298  90.0  49.1 -49.1 -90.0  0.50  214.815
28 9.75000E-01  10.0 280.  276.477  90.0  53.2 -53.2 -90.0  0.50  220.780
29 1.00000E+00  10.0 280.  279.128  90.0  56.7 -56.7 -90.0  0.50  225.426
30 1.02500E+00  10.0 280.  281.857  90.0  60.1 -60.1 -90.0  0.50  229.955
31 1.05000E+00  10.0 280.  284.514  90.0  63.5 -63.5 -90.0  0.50  234.200
32 1.07500E+00  10.0 280.  286.917  90.0  66.4 -66.4 -90.0  0.50  237.802
33 1.10000E+00  10.0 280.  290.025  90.0  70.3 -70.3 -90.0  0.50  242.130
34 1.12500E+00  10.0 280.  295.596  90.0  75.8 -75.8 -90.0  0.50  248.386
35 1.15100E+00  10.0 280.  364.560  90.0  90.0 -90.0 -90.0  0.50  282.624
36 1.17500E+00  10.0 280.  367.915  90.0  90.0 -90.0 -90.0  0.50  283.495
37 1.20000E+00  10.0 280.  370.791  90.0  90.0 -90.0 -90.0  0.50  284.139
38 1.22500E+00  10.0 280.  373.016  90.0  90.0 -90.0 -90.0  0.50  284.608
