 #Name of benchmark/experiment: Experiment 3 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
0  8.00000E-01  23.5 280.  217.270  90.0   0.0   0.0 -90.0  0.50  111.757
1  8.12500E-01  23.5 280.  221.120  90.0   0.0   0.0 -90.0  0.50  114.667
2  8.25000E-01  23.5 280.  222.406  90.0   0.0   0.0 -90.0  0.50  116.955
3  8.37500E-01  23.5 280.  223.722  90.0   0.0   0.0 -90.0  0.50  119.319
4  8.50000E-01  23.5 280.  225.085  90.0   0.0   0.0 -90.0  0.50  121.780
5  8.62500E-01  23.5 280.  226.502  90.0   0.0   0.0 -90.0  0.50  124.350
6  8.75000E-01  23.5 280.  227.988  90.0   0.0   0.0 -90.0  0.50  127.056
7  8.87500E-01  23.5 280.  229.662  90.0   0.0   0.0 -90.0  0.50  130.115
8  9.00000E-01  23.5 280.  231.553  90.0   0.0   0.0 -90.0  0.50  133.585
9  9.12500E-01  23.5 280.  233.355  90.0   0.0   0.0 -90.0  0.50  136.911
10 9.24800E-01  23.5 280.  235.178  90.0   0.0   0.0 -90.0  0.50  140.296
11 9.37500E-01  23.5 280.  237.155  90.0   0.0   0.0 -90.0  0.50  143.989
12 9.51000E-01  23.5 280.  239.464  90.0   0.0   0.0 -90.0  0.50  148.333
13 9.62500E-01  23.5 280.  241.798  90.0   0.0   0.0 -90.0  0.50  152.759
14 9.75000E-01  23.5 280.  245.795  90.0   0.0   0.0 -90.0  0.50  160.394
15 9.87500E-01  23.5 280.  278.059  90.0  59.9 -59.9 -90.0  0.50  224.118
16 1.00000E+00  23.5 280.  279.510  90.0  62.8 -62.8 -90.0  0.50  226.816
17 1.01250E+00  23.5 280.  280.852  90.0  65.5 -65.5 -90.0  0.50  229.166
18 1.02500E+00  23.5 280.  282.105  90.0  68.2 -68.2 -90.0  0.50  231.272
19 1.03750E+00  23.5 280.  283.428  90.0  71.5 -71.5 -90.0  0.50  233.462
20 1.05000E+00  23.5 280.  284.705  90.0  75.5 -75.5 -90.0  0.50  235.522
21 1.06250E+00  23.5 280.  285.903  90.0  80.3 -80.3 -90.0  0.50  237.391
22 1.07500E+00  23.5 280.  287.150  90.0  90.0 -90.0 -90.0  0.50  239.319
23 1.09000E+00  23.5 280.  288.580  90.0  90.0 -90.0 -90.0  0.50  241.474
24 1.10500E+00  23.5 280.  289.937  90.0  90.0 -90.0 -90.0  0.50  243.376
25 1.12500E+00  23.5 280.  292.018  90.0  90.0 -90.0 -90.0  0.50  246.185
26 1.13750E+00  23.5 280.  294.017  90.0  90.0 -90.0 -90.0  0.50  248.487
27 1.15000E+00  23.5 280.  297.702  90.0  90.0 -90.0 -90.0  0.50  252.289
28 1.16250E+00  23.5 280.  303.293  90.0  90.0 -90.0 -90.0  0.50  257.592
29 1.17500E+00  23.5 280.  374.413  90.0  90.0 -90.0 -90.0  0.50  284.976
30 1.18750E+00  23.5 280.  376.131  90.0  90.0 -90.0 -90.0  0.50  285.199
31 1.20000E+00  23.5 280.  377.362  90.0  90.0 -90.0 -90.0  0.50  285.372
32 1.21250E+00  23.5 280.  378.368  90.0  90.0 -90.0 -90.0  0.50  285.499
33 1.22500E+00  23.5 280.  379.271  90.0  90.0 -90.0 -90.0  0.50  285.620
34 1.23750E+00  23.5 280.  380.118  90.0  90.0 -90.0 -90.0  0.50  285.728
35 1.25000E+00  23.5 280.  380.826  90.0  90.0 -90.0 -90.0  0.50  285.812
36 1.26250E+00  23.5 280.  381.497  90.0  90.0 -90.0 -90.0  0.50  285.895
37 1.27500E+00  23.5 280.  382.129  90.0  90.0 -90.0 -90.0  0.50  285.988
38 1.28750E+00  23.5 280.  382.646  90.0  90.0 -90.0 -90.0  0.50  286.051
39 1.30000E+00  23.5 280.  383.141  90.0  90.0 -90.0 -90.0  0.50  286.114
40 1.31250E+00  23.5 280.  383.624  90.0  90.0 -90.0 -90.0  0.50  286.175
41 1.32500E+00  23.5 280.  384.031  90.0  90.0 -90.0 -90.0  0.50  286.221
42 1.33750E+00  23.5 280.  384.427  90.0  90.0 -90.0 -90.0  0.50  286.261
43 1.35000E+00  23.5 280.  384.777  90.0  90.0 -90.0 -90.0  0.50  286.311
44 1.36250E+00  23.5 280.  385.092  90.0  90.0 -90.0 -90.0  0.50  286.353
45 1.37500E+00  23.5 280.  385.400  90.0  90.0 -90.0 -90.0  0.50  286.378
46 1.38750E+00  23.5 280.  385.706  90.0  90.0 -90.0 -90.0  0.50  286.423
47 1.40000E+00  23.5 280.  385.941  90.0  90.0 -90.0 -90.0  0.50  286.441
48 1.41250E+00  23.5 280.  386.175  90.0  90.0 -90.0 -90.0  0.50  286.480
49 1.42500E+00  23.5 280.  386.399  90.0  90.0 -90.0 -90.0  0.50  286.499
50 1.43750E+00  23.5 280.  386.589  90.0  90.0 -90.0 -90.0  0.50  286.512
51 1.45000E+00  23.5 280.  386.809  90.0  90.0 -90.0 -90.0  0.50  286.547
52 1.46250E+00  23.5 280.  387.015  90.0  90.0 -90.0 -90.0  0.50  286.564
53 1.47500E+00  23.5 280.  387.149  90.0  90.0 -90.0 -90.0  0.50  286.572
54 1.48750E+00  23.5 280.  387.288  90.0  90.0 -90.0 -90.0  0.50  286.599
55 1.50000E+00  23.5 280.  387.452  90.0  90.0 -90.0 -90.0  0.50  286.617
