 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corres
# ponds to latitude bands in which the annually-averaged surface temperature is <
#  263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
0  1.56250E+00   0.0 280.  384.759  90.0  90.0 -90.0 -90.0  0.50  286.271
1  1.46924E+00   0.0 280.  383.266  90.0  90.0 -90.0 -90.0  0.50  286.083
2  1.38408E+00   0.0 280.  380.955  90.0  90.0 -90.0 -90.0  0.50  285.797
3  1.30597E+00   0.0 280.  377.587  90.0  90.0 -90.0 -90.0  0.50  285.350
4  1.23457E+00   0.0 280.  372.958  90.0  90.0 -90.0 -90.0  0.50  284.559
5  1.16874E+00   0.0 280.  366.585  90.0  90.0 -90.0 -90.0  0.50  283.064
6  1.10803E+00   0.0 280.  357.196  90.0  90.0 -90.0 -90.0  0.50  280.184
7  1.05172E+00   0.0 280.  288.360  90.0  68.7 -68.7 -90.0  0.50  240.058
8  1.00000E+00   0.0 280.  284.372  90.0  63.6 -63.6 -90.0  0.50  234.063
9  9.51814E-01   0.0 280.  280.247  90.0  58.3 -58.3 -90.0  0.50  227.360
10 9.07030E-01   0.0 280.  275.986  90.0  52.9 -52.9 -90.0  0.50  219.874
11 7.54830E-01   0.0 280.  213.861  90.0   0.0   0.0 -90.0  0.50  102.658
12 7.24310E-01   0.0 280.  212.125  90.0   0.0   0.0 -90.0  0.50   98.319
13 6.94444E-01   0.0 280.  209.547  90.0   0.0   0.0 -90.0  0.50   94.007
14 6.66389E-01   0.0 280.  207.066  90.0   0.0   0.0 -90.0  0.50   89.969
15 6.40000E-01   0.0 280.  204.691  90.0   0.0   0.0 -90.0  0.50   86.154

16 1.56250E+00  10.0 280.  385.584  90.0  90.0 -90.0 -90.0  0.50  286.377
17 1.46924E+00  10.0 280.  384.109  90.0  90.0 -90.0 -90.0  0.50  286.192
18 1.38408E+00  10.0 280.  381.899  90.0  90.0 -90.0 -90.0  0.50  285.927
19 1.30597E+00  10.0 280.  378.829  90.0  90.0 -90.0 -90.0  0.50  285.518
20 1.23457E+00  10.0 280.  374.333  90.0  90.0 -90.0 -90.0  0.50  284.859
21 1.16874E+00  10.0 280.  367.718  90.0  90.0 -90.0 -90.0  0.50  283.448
22 1.10803E+00  10.0 280.  358.089  90.0  90.0 -90.0 -90.0  0.50  280.687
23 1.05172E+00  10.0 280.  287.096  90.0  65.8 -65.8 -90.0  0.50  238.085
24 1.00000E+00  10.0 280.  282.487  90.0  59.5 -59.6 -90.0  0.50  230.801
25 9.51814E-01  10.0 280.  277.641  90.0  53.2 -53.2 -90.0  0.50  222.632
26 9.07030E-01  10.0 280.  272.455  90.0  46.6 -46.6 -90.0  0.50  213.068
27 7.54830E-01  10.0 280.  213.698  90.0   0.0   0.0 -90.0  0.50  102.740
28 7.24310E-01  10.0 280.  212.077  90.0   0.0   0.0 -90.0  0.50   98.372
29 6.94444E-01  10.0 280.  209.473  90.0   0.0   0.0 -90.0  0.50   94.043
30 6.66389E-01  10.0 280.  207.004  90.0   0.0   0.0 -90.0  0.50   89.992
31 6.40000E-01  10.0 280.  204.635  90.0   0.0   0.0 -90.0  0.50   86.186

32 1.56250E+00  20.0 280.  387.338  90.0  90.0 -90.0 -90.0  0.50  286.602
33 1.46924E+00  20.0 280.  386.218  90.0  90.0 -90.0 -90.0  0.50  286.478
34 1.38408E+00  20.0 280.  384.509  90.0  90.0 -90.0 -90.0  0.50  286.261
35 1.30597E+00  20.0 280.  382.003  90.0  90.0 -90.0 -90.0  0.50  285.948
36 1.23457E+00  20.0 280.  378.075  90.0  90.0 -90.0 -90.0  0.50  285.443
37 1.16874E+00  20.0 280.  371.872  90.0  90.0 -90.0 -90.0  0.50  284.531
38 1.10803E+00  20.0 280.  361.585  90.0  90.0 -90.0 -90.0  0.50  282.182
39 1.05172E+00  20.0 280.  287.628  90.0  74.4 -90.0 -74.4  0.50  239.676
40 1.00000E+00  20.0 280.  282.856  90.0  63.6 -63.6 -90.0  0.50  232.014
41 9.51814E-01  20.0 280.  277.974  90.0  55.7 -55.7 -90.0  0.50  223.637
42 9.07030E-01  20.0 280.  272.055  90.0  46.8 -46.8 -90.0  0.50  212.425
43 7.54830E-01  20.0 280.  213.734  90.0   0.0   0.0 -90.0  0.50  103.068
44 7.24310E-01  20.0 280.  211.994  90.0   0.0   0.0 -90.0  0.50   98.633
45 6.94444E-01  20.0 280.  209.346  90.0   0.0   0.0 -90.0  0.50   94.226
46 6.66389E-01  20.0 280.  206.846  90.0   0.0   0.0 -90.0  0.50   90.144
47 6.40000E-01  20.0 280.  204.458  90.0   0.0   0.0 -90.0  0.50   86.325

48 1.56250E+00  30.0 280.  388.766  90.0  90.0 -90.0 -90.0  0.50  286.749
49 1.46924E+00  30.0 280.  388.335  90.0  90.0 -90.0 -90.0  0.50  286.699
50 1.38408E+00  30.0 280.  387.466  90.0  90.0 -90.0 -90.0  0.50  286.622
51 1.30597E+00  30.0 280.  385.994  90.0  90.0 -90.0 -90.0  0.50  286.461
52 1.23457E+00  30.0 280.  383.450  90.0  90.0 -90.0 -90.0  0.50  286.176
53 1.16874E+00  30.0 280.  378.969  90.0  90.0 -90.0 -90.0  0.50  285.604
54 1.10803E+00  30.0 280.  369.727  90.0  90.0 -90.0 -90.0  0.50  284.354
55 1.05172E+00  30.0 280.  288.366  90.0  90.0 -90.0 -90.0  0.50  241.893
56 1.00000E+00  30.0 280.  284.390  90.0  90.0 -90.0 -90.0  0.50  235.695
57 9.51814E-01  30.0 280.  279.200  90.0  64.6 -64.6 -90.0  0.50  226.391
58 9.07030E-01  30.0 280.  272.488  90.0  49.4 -49.3 -90.0  0.50  213.480
59 7.54830E-01  30.0 280.  213.758  90.0   0.0   0.0 -90.0  0.50  103.593
60 7.24310E-01  30.0 280.  211.883  90.0   0.0   0.0 -90.0  0.50   99.058
61 6.94444E-01  30.0 280.  209.185  90.0   0.0   0.0 -90.0  0.50   94.568
62 6.66389E-01  30.0 280.  206.645  90.0   0.0   0.0 -90.0  0.50   90.425
63 6.40000E-01  30.0 280.  204.231  90.0   0.0   0.0 -90.0  0.50   86.572

64 1.56250E+00  40.0 280.  388.579  90.0  90.0 -90.0 -90.0  0.50  286.729
65 1.46924E+00  40.0 280.  388.400  90.0  90.0 -90.0 -90.0  0.50  286.713
66 1.38408E+00  40.0 280.  388.197  90.0  90.0 -90.0 -90.0  0.50  286.691
67 1.30597E+00  40.0 280.  387.957  90.0  90.0 -90.0 -90.0  0.50  286.673
68 1.23457E+00  40.0 280.  387.514  90.0  90.0 -90.0 -90.0  0.50  286.628
69 1.16874E+00  40.0 280.  385.681  90.0  90.0 -90.0 -90.0  0.50  286.442
70 1.10803E+00  40.0 280.  380.704  90.0  90.0 -90.0 -90.0  0.50  285.877
71 1.05172E+00  40.0 280.  288.412  90.0  90.0 -90.0 -90.0  0.50  242.892
72 1.00000E+00  40.0 280.  284.838  90.0  90.0 -90.0 -90.0  0.50  237.331
73 9.51814E-01  40.0 280.  281.497  90.0  90.0 -90.0 -90.0  0.50  231.308
74 9.07030E-01  40.0 280.  277.204  90.0  90.0 -90.0 -90.0  0.50  223.186
75 7.54830E-01  40.0 280.  213.919  90.0   0.0   0.0 -90.0  0.50  104.412
76 7.24310E-01  40.0 280.  211.887  90.0   0.0   0.0 -90.0  0.50   99.760
77 6.94444E-01  40.0 280.  209.104  90.0   0.0   0.0 -90.0  0.50   95.149
78 6.66389E-01  40.0 280.  206.486  90.0   0.0   0.0 -90.0  0.50   90.894
79 6.40000E-01  40.0 280.  204.009  90.0   0.0   0.0 -90.0  0.50   86.944

80 1.56250E+00  50.0 280.  388.338  90.0  90.0 -90.0 -90.0  0.50  286.709
81 1.46924E+00  50.0 280.  388.144  90.0  90.0 -90.0 -90.0  0.50  286.689
82 1.38408E+00  50.0 280.  387.925  90.0  90.0 -90.0 -90.0  0.50  286.665
83 1.30597E+00  50.0 280.  387.680  90.0  90.0 -90.0 -90.0  0.50  286.648
84 1.23457E+00  50.0 280.  387.399  90.0  90.0 -90.0 -90.0  0.50  286.619
85 1.16874E+00  50.0 280.  387.067  90.0  90.0 -90.0 -90.0  0.50  286.589
86 1.10803E+00  50.0 280.  386.656  90.0  90.0 -90.0 -90.0  0.50  286.554
87 1.05172E+00  50.0 280.  288.515  90.0  90.0 -90.0 -90.0  0.50  243.684
88 1.00000E+00  50.0 280.  285.012  90.0  90.0 -90.0 -90.0  0.50  237.820
89 9.51814E-01  50.0 280.  281.625  90.0  90.0 -90.0 -90.0  0.50  231.808
90 9.07030E-01  50.0 280.  278.562  90.0  90.0 -90.0 -90.0  0.50  226.183
91 7.54830E-01  50.0 280.  214.768  90.0   0.0   0.0 -90.0  0.50  105.601
92 7.24310E-01  50.0 280.  212.089  90.0   0.0   0.0 -90.0  0.50  100.723
93 6.94444E-01  50.0 280.  209.201  90.0   0.0   0.0 -90.0  0.50   95.991
94 6.66389E-01  50.0 280.  206.494  90.0   0.0   0.0 -90.0  0.50   91.623
95 6.40000E-01  50.0 280.  203.938  90.0   0.0   0.0 -90.0  0.50   87.572

