 #Name of benchmark/experiment: Experiment 2 (cold start)
 # Describe how ice line latitude is determined: The surface ice coverage corres
 #ponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 #IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineNMin = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMax = latitude of northern edge of ice in northern hemisphere (deg)
 #IceLineSMin = latitude of northern edge of ice in northern hemisphere (deg)
 # Diff = thermal diffusion coefficient (W/m^2/K)
 # OLRglob = global, annual mean outgoing longwave radiation (W/m^2)

 # Case SEFF Obl XCO2 Tglob IceLineNMax IceLineNmin IceLineSMax IceLineSMin Diff OLRGlob
0  9.07030E-01   0.0 280.  225.999  90.0   0.0   0.0 -90.0  0.50  126.531
1  8.65333E-01   0.0 280.  224.643  90.0   0.0   0.0 -90.0  0.50  120.288
2  8.26446E-01   0.0 280.  221.142  90.0   0.0   0.0 -90.0  0.50  114.000
3  7.90123E-01   0.0 280.  217.892  90.0   0.0   0.0 -90.0  0.50  108.252
4  7.54830E-01   0.0 280.  214.767  90.0   0.0   0.0 -90.0  0.50  102.813
5  7.24310E-01   0.0 280.  212.125  90.0   0.0   0.0 -90.0  0.50   98.319
6  6.94444E-01   0.0 280.  209.547  90.0   0.0   0.0 -90.0  0.50   94.007
7  6.66389E-01   0.0 280.  207.066  90.0   0.0   0.0 -90.0  0.50   89.969
8  6.40000E-01   0.0 280.  204.691  90.0   0.0   0.0 -90.0  0.50   86.154
9  6.15148E-01   0.0 280.  202.376  90.0   0.0   0.0 -90.0  0.50   82.560
10 5.91716E-01   0.0 280.  200.185  90.0   0.0   0.0 -90.0  0.50   79.195
11 5.69598E-01   0.0 280.  198.080  90.0   0.0   0.0 -90.0  0.50   76.062
12 5.48697E-01   0.0 280.  196.081  90.0   0.0   0.0 -90.0  0.50   73.124
13 5.28926E-01   0.0 280.  194.125  90.0   0.0   0.0 -90.0  0.50   70.354
14 5.10204E-01   0.0 280.  192.237  90.0   0.0   0.0 -90.0  0.50   67.750
15 4.92459E-01   0.0 280.  190.417  90.0   0.0   0.0 -90.0  0.50   65.289
16 4.75624E-01   0.0 280.  188.669  90.0   0.0   0.0 -90.0  0.50   62.969
17 4.59638E-01   0.0 280.  186.997  90.0   0.0   0.0 -90.0  0.50   60.782
18 4.44444E-01   0.0 280.  185.326  90.0   0.0   0.0 -90.0  0.50   58.721

19 9.07030E-01  10.0 280.  228.499  90.0   0.0   0.0 -90.0  0.50  127.494
20 8.65333E-01  10.0 280.  224.643  90.0   0.0   0.0 -90.0  0.50  120.416
21 8.26446E-01  10.0 280.  221.123  90.0   0.0   0.0 -90.0  0.50  114.079
22 7.90123E-01  10.0 280.  217.881  90.0   0.0   0.0 -90.0  0.50  108.365
23 7.54830E-01  10.0 280.  214.752  90.0   0.0   0.0 -90.0  0.50  102.920
24 7.24310E-01  10.0 280.  212.077  90.0   0.0   0.0 -90.0  0.50   98.372
25 6.94444E-01  10.0 280.  209.473  90.0   0.0   0.0 -90.0  0.50   94.043
26 6.66389E-01  10.0 280.  207.004  90.0   0.0   0.0 -90.0  0.50   89.992
27 6.40000E-01  10.0 280.  204.635  90.0   0.0   0.0 -90.0  0.50   86.186
28 6.15148E-01  10.0 280.  202.323  90.0   0.0   0.0 -90.0  0.50   82.597
29 5.91716E-01  10.0 280.  200.113  90.0   0.0   0.0 -90.0  0.50   79.232
