# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.380372 307.091458 0.261250 0.290734 274.987647
-78.521659 306.958353 0.261250 0.289350 274.709458
-75.164888 306.812172 0.261250 0.288215 274.403939
-72.427054 306.656552 0.260000 0.286233 274.078694
-70.051556 306.498751 0.260000 0.285295 273.748890
-67.921031 306.337362 0.260000 0.284409 273.411587
-65.970136 306.173740 0.260000 0.283565 273.069617
-64.158067 306.008851 0.260000 0.282757 272.724999
-62.457325 305.843591 0.260000 0.281979 272.379605
-60.848336 305.675602 0.258750 0.279980 272.028508
-59.316583 305.506157 0.258750 0.279244 271.674368
-57.850948 305.337031 0.258750 0.278532 271.320895
-56.442690 305.171871 0.257500 0.276921 270.975710
-55.084794 305.009305 0.257500 0.276255 270.635947
-53.771523 304.848817 0.257500 0.275610 270.300528
-52.498117 304.689027 0.256250 0.273706 269.966566
-51.260575 304.528522 0.256250 0.273088 269.631111
-50.055495 304.370321 0.256250 0.272489 269.300471
-48.879952 304.218610 0.256250 0.271906 268.983395
-47.731416 304.070617 0.256250 0.271341 268.674090
-46.607672 303.925856 0.253750 0.268592 268.371539
-45.506776 303.779794 0.253750 0.268052 268.066269
-44.427004 303.636976 0.253750 0.267527 267.767780
-43.366822 303.501216 0.253750 0.267018 267.484041
-42.324857 303.370248 0.253750 0.266523 267.210318
-41.299873 303.243304 0.252500 0.264766 266.945005
-40.290752 303.115507 0.252500 0.264293 266.677910
-39.296480 302.992125 0.252500 0.263835 266.420041
-38.316134 302.876903 0.251250 0.262474 266.179227
-37.348870 302.766035 0.251250 0.262044 265.947513
-36.393910 302.655167 0.250000 0.260350 265.715799
-35.450543 302.549361 0.250000 0.259941 265.494664
-34.518108 302.451333 0.250000 0.259544 265.289786
-33.595995 302.357811 0.250000 0.259161 265.094325
-32.683639 302.264524 0.248750 0.257526 264.899355
-31.780510 302.176377 0.247500 0.256241 264.715128
-30.886118 302.095901 0.247500 0.255889 264.546933
-30.000000 302.017815 0.246250 0.254305 264.383733
-29.121726 301.941000 0.246250 0.253971 264.223190
-28.250889 301.872820 0.246250 0.253651 264.080694
-27.387108 301.807882 0.243750 0.251194 263.944973
-26.530021 301.742917 0.243750 0.250890 263.809197
-25.679289 301.685690 0.243750 0.250599 263.689592
-24.834587 301.632793 0.242500 0.249116 263.579037
-23.995611 301.578327 0.242500 0.248843 263.465203
-23.162069 301.530699 0.241250 0.247652 263.365661
-22.333683 301.485250 0.240000 0.246219 263.270672
-21.510188 301.441683 0.240000 0.245973 263.179617
-20.691333 301.404155 0.240000 0.245738 263.101184
-19.876874 301.364502 0.237500 0.243422 263.018309
-19.066580 301.332248 0.237500 0.243202 262.950898
-18.260228 301.297870 0.236250 0.241862 262.879048
-17.457603 301.268739 0.233750 0.239620 262.818165
-16.658499 301.241035 0.233750 0.239418 262.760263
-15.862716 301.214488 0.231250 0.237206 262.704780
-15.070062 301.188045 0.225000 0.232045 262.649514
-14.280350 301.166344 0.225000 0.231842 262.604159
-13.493399 301.146120 0.225000 0.231651 262.561891
-12.709033 301.127319 0.225000 0.231470 262.522597
-11.927082 301.109888 0.225000 0.231299 262.486166
-11.147378 301.093779 0.225000 0.231140 262.452498
-10.369760 301.078947 0.225000 0.230991 262.421499
-9.594068 301.065350 0.225000 0.230852 262.393081
-8.820148 301.052950 0.225000 0.230725 262.367165
-8.047846 301.041712 0.225000 0.230608 262.343678
-7.277014 301.031604 0.225000 0.230501 262.322552
-6.507504 301.022597 0.225000 0.230405 262.303728
-5.739170 301.014665 0.225000 0.230320 262.287150
-4.971872 301.007786 0.225000 0.230246 262.272773
-4.205466 301.001939 0.225000 0.230182 262.260553
-3.439813 300.997107 0.225000 0.230129 262.250454
-2.674774 300.993277 0.225000 0.230087 262.242449
-1.910213 300.990438 0.225000 0.230055 262.236515
-1.145992 300.988580 0.225000 0.230033 262.232632
-0.381975 300.987698 0.225000 0.230023 262.230789
0.381975 300.987789 0.225000 0.230023 262.230979
1.145992 300.988854 0.225000 0.230034 262.233205
1.910213 300.990895 0.225000 0.230055 262.237471
2.674774 300.993917 0.225000 0.230087 262.243787
3.439813 300.997929 0.225000 0.230130 262.252172
4.205466 301.002941 0.225000 0.230183 262.262647
4.971872 301.008968 0.225000 0.230247 262.275243
5.739170 301.016027 0.225000 0.230322 262.289996
6.507504 301.024137 0.225000 0.230407 262.306946
7.277014 301.033321 0.225000 0.230503 262.326141
8.047846 301.043604 0.225000 0.230610 262.347632
8.820148 301.055015 0.225000 0.230727 262.371481
9.594068 301.067586 0.225000 0.230855 262.397755
10.369760 301.081352 0.225000 0.230994 262.426526
11.147378 301.096352 0.225000 0.231143 262.457876
11.927082 301.112625 0.225000 0.231303 262.491886
12.709033 301.130219 0.225000 0.231473 262.528658
13.493399 301.149179 0.225000 0.231655 262.568284
14.280350 301.169559 0.225000 0.231846 262.610878
15.070062 301.191414 0.225000 0.232049 262.656555
15.862716 301.218088 0.231250 0.237214 262.712304
16.658499 301.244644 0.233750 0.239423 262.767806
17.457603 301.272516 0.233750 0.239625 262.826058
18.260228 301.301954 0.236250 0.241864 262.887584
19.066580 301.336075 0.237500 0.243200 262.958897
19.876874 301.368458 0.237500 0.243421 263.026577
20.691333 301.408148 0.240000 0.245732 263.109529
21.510188 301.445791 0.240000 0.245967 263.188203
22.333683 301.490291 0.240000 0.246213 263.281208
23.162069 301.534935 0.241250 0.247643 263.374514
23.995611 301.583643 0.242500 0.248834 263.476314
24.834587 301.637441 0.243750 0.250315 263.588752
25.679289 301.690538 0.243750 0.250595 263.699724
26.530021 301.748508 0.243750 0.250886 263.820882
27.387108 301.813663 0.243750 0.251190 263.957056
28.250889 301.878067 0.246250 0.253652 264.091660
29.121726 301.947072 0.246250 0.253972 264.235880
30.000000 302.024026 0.246250 0.254306 264.396714
30.886118 302.101939 0.247500 0.255894 264.559553
31.780510 302.182575 0.247500 0.256246 264.728082
32.683639 302.271001 0.248750 0.257533 264.912892
33.595995 302.364431 0.250000 0.259171 265.108161
34.518108 302.458073 0.250000 0.259554 265.303873
35.450543 302.556210 0.250000 0.259951 265.508979
36.393910 302.661732 0.250000 0.260361 265.729520
37.348870 302.772981 0.250000 0.260785 265.962030
38.316134 302.883787 0.251250 0.262488 266.193615
39.296480 302.998758 0.252500 0.263850 266.433904
40.290752 303.121193 0.252500 0.264308 266.689793
41.299873 303.248696 0.252500 0.264781 266.956275
42.324857 303.376540 0.253750 0.266542 267.223469
43.366822 303.507109 0.253750 0.267037 267.496358
44.427004 303.641527 0.253750 0.267546 267.777291
45.506776 303.783319 0.253750 0.268071 268.073637
46.607672 303.930339 0.256250 0.270809 268.380909
47.731416 304.074903 0.256250 0.271357 268.683047
48.879952 304.222850 0.256250 0.271922 268.992257
50.055495 304.373949 0.256250 0.272504 269.308053
51.260575 304.531697 0.256250 0.273104 269.637747
52.498117 304.692186 0.256250 0.273721 269.973169
