# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.380372 369.673069 0.225000 0.251806 405.783214
-78.521659 369.201856 0.225000 0.251437 404.798379
-75.164888 368.712242 0.225000 0.251073 403.775086
-72.427054 368.210612 0.225000 0.250715 402.726679
-70.051556 367.701321 0.225000 0.250361 401.662261
-67.921031 367.186729 0.225000 0.250013 400.586764
-65.970136 366.668861 0.225000 0.249669 399.504419
-64.158067 366.149242 0.225000 0.249331 398.418416
-62.457325 365.628984 0.225000 0.248997 397.331077
-60.848336 365.109133 0.225000 0.248669 396.244588
-59.316583 364.590558 0.225000 0.248346 395.160766
-57.850948 364.073919 0.225000 0.248027 394.080991
-56.442690 363.559839 0.225000 0.247714 393.006564
-55.084794 363.048928 0.225000 0.247405 391.938760
-53.771523 362.541673 0.225000 0.247102 390.878597
-52.498117 362.038489 0.225000 0.246803 389.826942
-51.260575 361.539782 0.225000 0.246510 388.784644
-50.055495 361.045960 0.225000 0.246221 387.752556
-48.879952 360.557370 0.225000 0.245938 386.731403
-47.731416 360.074305 0.225000 0.245659 385.721797
-46.607672 359.597048 0.225000 0.245386 384.724330
-45.506776 359.125890 0.225000 0.245117 383.739610
-44.427004 358.661111 0.225000 0.244854 382.768222
-43.366822 358.202944 0.225000 0.244595 381.810653
-42.324857 357.751599 0.225000 0.244342 380.867342
-41.299873 357.307288 0.225000 0.244093 379.938732
-40.290752 356.870231 0.225000 0.243849 379.025283
-39.296480 356.440648 0.225000 0.243611 378.127454
-38.316134 356.018723 0.225000 0.243377 377.245631
-37.348870 355.604619 0.225000 0.243148 376.380154
-36.393910 355.198504 0.225000 0.242925 375.531373
-35.450543 354.800548 0.225000 0.242706 374.699645
-34.518108 354.410929 0.225000 0.242492 373.885342
-33.595995 354.029802 0.225000 0.242283 373.088786
-32.683639 353.657303 0.225000 0.242080 372.310263
-31.780510 353.293563 0.225000 0.241881 371.550047
-30.886118 352.938721 0.225000 0.241687 370.808427
-30.000000 352.592918 0.225000 0.241498 370.085699
-29.121726 352.256275 0.225000 0.241314 369.382115
-28.250889 351.928899 0.225000 0.241135 368.697899
-27.387108 351.610888 0.225000 0.240961 368.033256
-26.530021 351.302347 0.225000 0.240792 367.388405
-25.679289 351.003380 0.225000 0.240628 366.763564
-24.834587 350.714067 0.225000 0.240469 366.158900
-23.995611 350.434474 0.225000 0.240315 365.574551
-23.162069 350.164666 0.225000 0.240166 365.010652
-22.333683 349.904706 0.225000 0.240022 364.467336
-21.510188 349.654629 0.225000 0.239883 363.944675
-20.691333 349.414457 0.225000 0.239749 363.442715
-19.876874 349.184200 0.225000 0.239620 362.961478
-19.066580 348.963829 0.225000 0.239495 362.500903
-18.260228 348.753281 0.225000 0.239376 362.060857
-17.457603 348.552474 0.225000 0.239262 361.641171
-16.658499 348.361314 0.225000 0.239153 361.241646
-15.862716 348.179700 0.225000 0.239048 360.862073
-15.070062 348.007529 0.225000 0.238949 360.502236
-14.280350 347.844697 0.225000 0.238855 360.161917
-13.493399 347.691100 0.225000 0.238765 359.840899
-12.709033 347.546639 0.225000 0.238681 359.538976
-11.927082 347.411214 0.225000 0.238602 359.255937
-11.147378 347.284733 0.225000 0.238527 358.991592
-10.369760 347.167105 0.225000 0.238458 358.745749
-9.594068 347.058246 0.225000 0.238393 358.518234
-8.820148 346.958076 0.225000 0.238334 358.308879
-8.047846 346.866521 0.225000 0.238279 358.117529
-7.277014 346.783513 0.225000 0.238230 357.944042
-6.507504 346.708990 0.225000 0.238185 357.788289
-5.739170 346.642896 0.225000 0.238145 357.650153
-4.971872 346.585179 0.225000 0.238111 357.529524
-4.205466 346.535797 0.225000 0.238081 357.426316
-3.439813 346.494710 0.225000 0.238056 357.340444
-2.674774 346.461887 0.225000 0.238037 357.271844
-1.910213 346.437303 0.225000 0.238022 357.220463
-1.145992 346.420940 0.225000 0.238012 357.186265
-0.381975 346.412783 0.225000 0.238007 357.169216
0.381975 346.412826 0.225000 0.238008 357.169306
1.145992 346.421071 0.225000 0.238013 357.186538
1.910213 346.437522 0.225000 0.238023 357.220921
2.674774 346.462192 0.225000 0.238038 357.272481
3.439813 346.495100 0.225000 0.238058 357.341259
4.205466 346.536271 0.225000 0.238083 357.427306
4.971872 346.585738 0.225000 0.238113 357.530692
5.739170 346.643536 0.225000 0.238148 357.651490
6.507504 346.709711 0.225000 0.238188 357.789796
7.277014 346.784312 0.225000 0.238233 357.945712
8.047846 346.867396 0.225000 0.238283 358.119358
8.820148 346.959024 0.225000 0.238338 358.310860
9.594068 347.059265 0.225000 0.238397 358.520364
10.369760 347.168192 0.225000 0.238462 358.748021
11.147378 347.285885 0.225000 0.238532 358.994000
11.927082 347.412428 0.225000 0.238607 359.258475
12.709033 347.547910 0.225000 0.238687 359.541632
13.493399 347.692424 0.225000 0.238771 359.843666
14.280350 347.846069 0.225000 0.238861 360.164784
15.070062 348.008945 0.225000 0.238955 360.505195
15.862716 348.181155 0.225000 0.239055 360.865114
16.658499 348.362802 0.225000 0.239160 361.244756
17.457603 348.553989 0.225000 0.239269 361.644337
18.260228 348.754816 0.225000 0.239384 362.064065
19.066580 348.965377 0.225000 0.239503 362.504138
19.876874 349.185753 0.225000 0.239628 362.964724
20.691333 349.416008 0.225000 0.239757 363.445957
21.510188 349.656168 0.225000 0.239892 363.947891
22.333683 349.906222 0.225000 0.240031 364.470504
