# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.380372 373.735632 0.225000 0.245017 414.273971
-78.521659 373.013811 0.225000 0.245053 412.765365
-75.164888 372.279726 0.225000 0.245078 411.231127
-72.427054 371.539466 0.225000 0.245097 409.683984
-70.051556 370.796108 0.225000 0.245113 408.130366
-67.921031 370.051405 0.225000 0.245127 406.573936
-65.970136 369.306704 0.225000 0.245139 405.017511
-64.158067 368.563271 0.225000 0.245150 403.463736
-62.457325 367.821995 0.225000 0.245159 401.914470
-60.848336 367.083591 0.225000 0.245167 400.371205
-59.316583 366.348773 0.225000 0.245175 398.835436
-57.850948 365.618195 0.225000 0.245181 397.308528
-56.442690 364.892351 0.225000 0.245187 395.791514
-55.084794 364.171674 0.225000 0.245193 394.285299
-53.771523 363.456596 0.225000 0.245197 392.790786
-52.498117 362.747555 0.225000 0.245202 391.308890
-51.260575 362.044929 0.225000 0.245205 389.840402
-50.055495 361.349020 0.225000 0.245209 388.385952
-48.879952 360.660122 0.225000 0.245211 386.946155
-47.731416 359.978527 0.225000 0.245214 385.521621
-46.607672 359.304494 0.225000 0.245216 384.112892
-45.506776 358.638228 0.225000 0.245217 382.720397
-44.427004 357.979924 0.225000 0.245219 381.344541
-43.366822 357.329779 0.225000 0.245220 379.985738
-42.324857 356.688000 0.225000 0.245220 378.644420
-41.299873 356.054801 0.225000 0.245221 377.321034
-40.290752 355.430373 0.225000 0.245221 376.015980
-39.296480 354.814881 0.225000 0.245220 374.729601
-38.316134 354.208483 0.225000 0.245220 373.462229
-37.348870 353.611342 0.225000 0.245219 372.214205
-36.393910 353.023632 0.225000 0.245218 370.985891
-35.450543 352.445537 0.225000 0.245217 369.777672
-34.518108 351.877232 0.225000 0.245216 368.589915
-33.595995 351.318874 0.225000 0.245214 367.422947
-32.683639 350.770611 0.225000 0.245212 366.277077
-31.780510 350.232592 0.225000 0.245210 365.152617
-30.886118 349.704972 0.225000 0.245208 364.049891
-30.000000 349.187917 0.225000 0.245206 362.969247
-29.121726 348.681602 0.225000 0.245203 361.911048
-28.250889 348.186194 0.225000 0.245201 360.875645
-27.387108 347.701851 0.225000 0.245198 359.863369
-26.530021 347.228720 0.225000 0.245195 358.874525
-25.679289 346.766953 0.225000 0.245192 357.909432
-24.834587 346.316707 0.225000 0.245188 356.968418
-23.995611 345.878144 0.225000 0.245185 356.051821
-23.162069 345.451421 0.225000 0.245181 355.159970
-22.333683 345.036679 0.225000 0.245178 354.293159
-21.510188 344.634057 0.225000 0.245174 353.451679
-20.691333 344.243693 0.225000 0.245170 352.635818
-19.876874 343.865734 0.225000 0.245166 351.845884
-19.066580 343.500333 0.225000 0.245162 351.082196
-18.260228 343.147656 0.225000 0.245157 350.345101
-17.457603 342.807867 0.225000 0.245153 349.634942
-16.658499 342.481129 0.225000 0.245148 348.952060
-15.862716 342.167592 0.225000 0.245144 348.296767
-15.070062 341.867403 0.225000 0.245139 347.669372
-14.280350 341.580714 0.225000 0.245134 347.070192
-13.493399 341.307685 0.225000 0.245129 346.499562
-12.709033 341.048483 0.225000 0.245125 345.957829
-11.927082 340.803287 0.225000 0.245120 345.445370
-11.147378 340.572276 0.225000 0.245114 344.962557
-10.369760 340.355623 0.225000 0.245109 344.509752
-9.594068 340.153487 0.225000 0.245104 344.087288
-8.820148 339.966022 0.225000 0.245099 343.695486
-8.047846 339.793388 0.225000 0.245093 343.334681
-7.277014 339.635746 0.225000 0.245088 343.005209
-6.507504 339.493266 0.225000 0.245083 342.707426
-5.739170 339.366129 0.225000 0.245077 342.441710
-4.971872 339.254509 0.225000 0.245071 342.208424
-4.205466 339.158573 0.225000 0.245066 342.007918
-3.439813 339.078457 0.225000 0.245060 341.840475
-2.674774 339.014282 0.225000 0.245054 341.706349
-1.910213 338.966162 0.225000 0.245049 341.605779
-1.145992 338.934205 0.225000 0.245043 341.538988
-0.381975 338.918517 0.225000 0.245037 341.506201
0.381975 338.919203 0.225000 0.245031 341.507634
1.145992 338.936263 0.225000 0.245026 341.543290
1.910213 338.969593 0.225000 0.245020 341.612949
2.674774 339.019090 0.225000 0.245014 341.716398
3.439813 339.084646 0.225000 0.245008 341.853410
4.205466 339.166147 0.225000 0.245002 342.023747
4.971872 339.263475 0.225000 0.244996 342.227163
5.739170 339.376492 0.225000 0.244990 342.463368
6.507504 339.505034 0.225000 0.244984 342.732021
7.277014 339.648926 0.225000 0.244978 343.032755
8.047846 339.807988 0.225000 0.244973 343.365195
8.820148 339.982051 0.225000 0.244967 343.728987
9.594068 340.170953 0.225000 0.244961 344.123792
10.369760 340.374536 0.225000 0.244955 344.549280
11.147378 340.592645 0.225000 0.244949 345.005128
11.927082 340.825122 0.225000 0.244943 345.491005
12.709033 341.071792 0.225000 0.244937 346.006545
13.493399 341.332478 0.225000 0.244932 346.551379
14.280350 341.607002 0.225000 0.244926 347.125134
15.070062 341.895194 0.225000 0.244920 347.727455
15.862716 342.196895 0.225000 0.244915 348.358011
16.658499 342.511953 0.225000 0.244909 349.016482
17.457603 342.840220 0.225000 0.244903 349.702560
18.260228 343.181546 0.225000 0.244898 350.415931
19.066580 343.535769 0.225000 0.244892 351.156257
19.876874 343.902721 0.225000 0.244887 351.923187
20.691333 344.282239 0.225000 0.244882 352.716380
21.510188 344.674166 0.225000 0.244876 353.535507
22.333683 345.078357 0.225000 0.244871 354.380266
23.162069 345.494672 0.225000 0.244866 355.250364
23.995611 345.922972 0.225000 0.244861 356.145511
24.834587 346.363113 0.225000 0.244856 357.065406
25.679289 346.814939 0.225000 0.244851 358.009723
26.530021 347.278287 0.225000 0.244846 358.978120
27.387108 347.752997 0.225000 0.244842 359.970264
28.250889 348.238917 0.225000 0.244837 360.985837
29.121726 348.735898 0.225000 0.244833 362.024527
30.000000 349.243781 0.225000 0.244828 363.086002
30.886118 349.762399 0.225000 0.244824 364.169914
31.780510 350.291573 0.225000 0.244820 365.275888
32.683639 350.831136 0.225000 0.244816 366.403574
33.595995 351.380932 0.225000 0.244812 367.552648
34.518108 351.940809 0.225000 0.244809 368.722791
35.450543 352.510618 0.225000 0.244805 369.913692
36.393910 353.090200 0.225000 0.244802 371.125018
37.348870 353.679377 0.225000 0.244799 372.356398
38.316134 354.277963 0.225000 0.244796 373.607443
39.296480 354.885782 0.225000 0.244793 374.877784
40.290752 355.502668 0.225000 0.244791 376.167076
41.299873 356.128460 0.225000 0.244788 377.474981
42.324857 356.762991 0.225000 0.244786 378.801151
43.366822 357.406065 0.225000 0.244784 380.145176
44.427004 358.057467 0.225000 0.244783 381.506606
45.506776 358.716985 0.225000 0.244781 382.884999
46.607672 359.384418 0.225000 0.244780 384.279934
47.731416 360.059570 0.225000 0.244780 385.691001
48.879952 360.742228 0.225000 0.244779 387.117757
50.055495 361.432130 0.225000 0.244779 388.559652
51.260575 362.128979 0.225000 0.244780 390.016066
52.498117 362.832477 0.225000 0.244781 391.486377
53.771523 363.542313 0.225000 0.244782 392.969934
55.084794 364.258106 0.225000 0.244784 394.465942
56.442690 364.979410 0.225000 0.244786 395.973467
57.850948 365.705785 0.225000 0.244789 397.491591
59.316583 366.436789 0.225000 0.244792 399.019389
60.848336 367.171920 0.225000 0.244797 400.555813
62.457325 367.910512 0.225000 0.244802 402.099470
64.158067 368.651839 0.225000 0.244808 403.648844
65.970136 369.395170 0.225000 0.244815 405.202405
67.921031 370.139600 0.225000 0.244824 406.758264
70.051556 370.883840 0.225000 0.244834 408.313726
72.427054 371.626516 0.225000 0.244846 409.865918
75.164888 372.365837 0.225000 0.244862 411.411099
78.521659 373.098668 0.225000 0.244883 412.942716
83.380372 373.818821 0.225000 0.244917 414.447836
