# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.402352 307.847613 0.225000 0.294126 276.568011
-78.559857 309.322857 0.225000 0.291488 279.651271
-75.214368 310.785285 0.225000 0.288885 282.707746
-72.485798 312.235626 0.225000 0.286318 285.738958
-70.118394 313.673798 0.225000 0.283786 288.744738
-67.995177 315.099106 0.225000 0.281290 291.723632
-66.051021 316.510381 0.225000 0.278829 294.673196
-64.245254 317.905664 0.225000 0.276403 297.589338
-62.550469 319.282377 0.225000 0.274013 300.466668
-60.947155 320.638513 0.225000 0.271659 303.300992
-59.420843 321.972657 0.225000 0.269339 306.089353
-57.960452 323.283854 0.225000 0.267055 308.829755
-56.557269 324.571486 0.225000 0.264807 311.520906
-55.204301 325.835177 0.225000 0.262594 314.162020
-53.895832 327.074730 0.225000 0.260416 316.752686
-52.627117 328.290069 0.225000 0.258274 319.292744
-51.394167 329.481213 0.225000 0.256167 321.782235
-50.193591 330.648241 0.225000 0.254096 324.221324
-49.022477 331.791283 0.225000 0.252060 326.610281
-47.878298 332.910497 0.225000 0.250060 328.949439
-46.758852 334.006064 0.225000 0.248094 331.239174
-45.662198 335.078182 0.225000 0.246165 333.479900
-44.586620 336.127054 0.225000 0.244270 335.672043
-43.530588 337.152891 0.225000 0.242411 337.816042
-42.492733 338.155905 0.225000 0.240588 339.912341
-41.471824 339.136305 0.225000 0.238800 341.961377
-40.466747 340.094301 0.225000 0.237047 343.963589
-39.476493 341.030097 0.225000 0.235330 345.919403
-38.500141 341.943893 0.225000 0.233648 347.829236
-37.536848 342.835885 0.225000 0.232002 349.693500
-36.585843 343.706262 0.225000 0.230391 351.512588
-35.646414 344.555207 0.225000 0.228815 353.286883
-34.717906 345.382898 0.225000 0.227275 355.016757
-33.799709 346.189505 0.225000 0.225770 356.702565
-32.891259 346.975194 0.225000 0.224301 358.344655
-31.992032 347.740122 0.225000 0.222867 359.943355
-31.101537 348.484444 0.225000 0.221468 361.498988
-30.219314 349.208305 0.225000 0.220105 363.011857
-29.344934 349.911845 0.225000 0.218777 364.482256
-28.477994 350.595200 0.225000 0.217485 365.910468
-27.618112 351.258500 0.225000 0.216228 367.296765
-26.764931 351.901866 0.225000 0.215006 368.641400
-25.918110 352.525420 0.225000 0.213820 369.944628
-25.077328 353.129272 0.225000 0.212669 371.206678
-24.242282 353.713533 0.225000 0.211554 372.427784
-23.412680 354.278305 0.225000 0.210474 373.608157
-22.588248 354.823687 0.225000 0.209430 374.748006
-21.768723 355.349774 0.225000 0.208420 375.847528
-20.953852 355.856654 0.225000 0.207447 376.906907
-20.143396 356.344415 0.225000 0.206509 377.926327
-19.337123 356.813137 0.225000 0.205606 378.905956
-18.534813 357.262897 0.225000 0.204738 379.845955
-17.736252 357.693769 0.225000 0.203906 380.746477
-16.941235 358.105822 0.225000 0.203110 381.607668
-16.149565 358.499123 0.225000 0.202348 382.429667
-15.361050 358.873734 0.225000 0.201622 383.212604
-14.575505 359.229714 0.225000 0.200932 383.956602
-13.792751 359.567118 0.225000 0.200277 384.661777
-13.012614 359.885998 0.225000 0.199657 385.328236
-12.234924 360.186403 0.225000 0.199073 385.956082
-11.459516 360.468380 0.225000 0.198524 386.545414
-10.686230 360.731969 0.225000 0.198011 387.096315
-9.914909 360.977212 0.225000 0.197533 387.608873
-9.145398 361.204144 0.225000 0.197091 388.083161
-8.377548 361.412800 0.225000 0.196683 388.519252
-7.611211 361.603210 0.225000 0.196312 388.917209
-6.846240 361.775402 0.225000 0.195975 389.277090
-6.082494 361.929401 0.225000 0.195674 389.598948
-5.319832 362.065229 0.225000 0.195409 389.882829
-4.558113 362.182907 0.225000 0.195179 390.128776
-3.797202 362.282452 0.225000 0.194984 390.336825
-3.036960 362.363877 0.225000 0.194825 390.507003
-2.277253 362.427195 0.225000 0.194701 390.639338
-1.517947 362.472414 0.225000 0.194612 390.733845
-0.758907 362.499541 0.225000 0.194559 390.790541
0.000000 362.508581 0.225000 0.194542 390.809434
0.758907 362.499533 0.225000 0.194559 390.790524
1.517947 362.472398 0.225000 0.194613 390.733812
2.277253 362.427171 0.225000 0.194701 390.639287
3.036960 362.363845 0.225000 0.194825 390.506936
3.797202 362.282412 0.225000 0.194985 390.336741
4.558113 362.182859 0.225000 0.195179 390.128675
5.319832 362.065173 0.225000 0.195409 389.882712
6.082494 361.929337 0.225000 0.195675 389.598814
6.846240 361.775330 0.225000 0.195976 389.276940
7.611211 361.603130 0.225000 0.196313 388.917042
8.377548 361.412712 0.225000 0.196684 388.519068
9.145398 361.204049 0.225000 0.197092 388.082962
9.914909 360.977108 0.225000 0.197534 387.608656
10.686230 360.731858 0.225000 0.198012 387.096083
11.459516 360.468260 0.225000 0.198526 386.545163
12.234924 360.186276 0.225000 0.199075 385.955817
13.012614 359.885863 0.225000 0.199659 385.327954
13.792751 359.566975 0.225000 0.200278 384.661478
14.575505 359.229563 0.225000 0.200934 383.956287
15.361050 358.873576 0.225000 0.201624 383.212274
16.149565 358.498957 0.225000 0.202350 382.429320
16.941235 358.105648 0.225000 0.203111 381.607304
17.736252 357.693587 0.225000 0.203908 380.746097
18.534813 357.262707 0.225000 0.204740 379.845558
19.337123 356.812939 0.225000 0.205608 378.905543
20.143396 356.344210 0.225000 0.206511 377.925899
20.953852 355.856442 0.225000 0.207449 376.906464
21.768723 355.349553 0.225000 0.208423 375.847066
22.588248 354.823459 0.225000 0.209432 374.747529
23.412680 354.278069 0.225000 0.210476 373.607664
24.242282 353.713290 0.225000 0.211556 372.427276
25.077328 353.129022 0.225000 0.212672 371.206156
25.918110 352.525162 0.225000 0.213822 369.944089
26.764931 351.901601 0.225000 0.215009 368.640846
27.618112 351.258227 0.225000 0.216230 367.296194
28.477994 350.594920 0.225000 0.217487 365.909883
29.344934 349.911558 0.225000 0.218780 364.481656
30.219314 349.208010 0.225000 0.220107 363.011241
31.101537 348.484142 0.225000 0.221471 361.498357
31.992032 347.739813 0.225000 0.222869 359.942709
32.891259 346.974877 0.225000 0.224303 358.343993
33.799709 346.189181 0.225000 0.225773 356.701888
34.717906 345.382567 0.225000 0.227278 355.016065
35.646414 344.554869 0.225000 0.228818 353.286176
36.585843 343.705917 0.225000 0.230394 351.511867
37.536848 342.835533 0.225000 0.232005 349.692764
38.500141 341.943534 0.225000 0.233651 347.828486
39.476493 341.029731 0.225000 0.235333 345.918638
40.466747 340.093928 0.225000 0.237050 343.962810
41.471824 339.135925 0.225000 0.238803 341.960583
42.492733 338.155518 0.225000 0.240591 339.911533
43.530588 337.152498 0.225000 0.242415 337.815221
44.586620 336.126654 0.225000 0.244273 335.671207
45.662198 335.077775 0.225000 0.246168 333.479050
46.758852 334.005651 0.225000 0.248098 331.238311
47.878298 332.910077 0.225000 0.250063 328.948561
49.022477 331.790857 0.225000 0.252063 326.609391
50.193591 330.647809 0.225000 0.254099 324.220421
51.394167 329.480774 0.225000 0.256170 321.781318
52.627117 328.289624 0.225000 0.258277 319.291814
53.895832 327.074278 0.225000 0.260419 316.751741
55.204301 325.834719 0.225000 0.262597 314.161063
56.557269 324.571021 0.225000 0.264810 311.519934
57.960452 323.283384 0.225000 0.267058 308.828773
59.420843 321.972181 0.225000 0.269342 306.088358
60.947155 320.638031 0.225000 0.271661 303.299985
62.550469 319.281889 0.225000 0.274016 300.465648
64.245254 317.905170 0.225000 0.276406 297.588305
66.051021 316.509881 0.225000 0.278831 294.672151
67.995177 315.098600 0.225000 0.281292 291.722574
70.118394 313.673287 0.225000 0.283788 288.743670
72.485798 312.235109 0.225000 0.286320 285.737878
75.214368 310.784763 0.225000 0.288886 282.706655
78.559857 309.322330 0.225000 0.291489 279.650170
83.402352 307.847083 0.225000 0.294126 276.566903
