# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.402352 261.514425 0.574688 0.558940 199.583835
-78.559857 263.049334 0.573281 0.546015 202.635967
-75.214368 264.591068 0.571406 0.536121 205.690625
-72.485798 266.142528 0.570469 0.528171 208.745094
-70.118394 267.697027 0.569062 0.520724 211.782419
-67.995177 269.259394 0.503906 0.470577 214.810591
-66.051021 270.813635 0.427969 0.413757 217.800023
-64.245254 272.337625 0.358594 0.361109 220.714659
-62.550469 273.821698 0.263437 0.288957 223.526778
-60.947155 275.242659 0.262500 0.282962 226.195083
-59.420843 276.609138 0.260625 0.276613 228.736987
-57.960452 277.929879 0.259219 0.274255 231.169437
-56.557269 279.209944 0.258281 0.271193 233.502582
-55.204301 280.450442 0.256406 0.267480 235.739859
-53.895832 281.656761 0.254531 0.265201 237.893162
-52.627117 282.833750 0.253125 0.262386 239.971586
-51.394167 283.980494 0.250781 0.257481 241.975115
-50.193591 285.098178 0.248906 0.253081 243.906926
-49.022477 286.188902 0.246563 0.248459 245.771405
-47.878298 287.253675 0.243750 0.243683 247.571182
-46.758852 288.293268 0.239531 0.238024 249.308383
-45.662198 289.308082 0.238594 0.234779 250.984662
-44.586620 290.298915 0.237656 0.231632 252.602114
-43.530588 291.266332 0.236719 0.228631 254.162470
-42.492733 292.210840 0.236250 0.226013 255.667362
-41.471824 293.132952 0.234844 0.222883 257.118345
-40.466747 294.031417 0.233438 0.219823 258.514997
-39.476493 294.909956 0.232500 0.217184 259.862537
-38.500141 295.764872 0.230156 0.213554 261.157749
-37.536848 296.598158 0.225000 0.208114 262.403883
-36.585843 297.412729 0.225000 0.206367 263.604811
-35.646414 298.206411 0.225000 0.204734 264.759181
-34.717906 298.979517 0.225000 0.203129 265.868169
-33.799709 299.732331 0.225000 0.201592 266.932997
-32.891259 300.465111 0.225000 0.200199 267.954763
-31.992032 301.178109 0.225000 0.198948 268.934623
-31.101537 301.871564 0.225000 0.197646 269.873595
-30.219314 302.545687 0.225000 0.196286 270.772733
-29.344934 303.200665 0.225000 0.194980 271.632990
-28.477994 303.836668 0.225000 0.193729 272.455350
-27.618112 304.453858 0.225000 0.192528 273.240746
-26.764931 305.052385 0.225000 0.191378 273.990091
-25.918110 305.632386 0.225000 0.190276 274.704239
-25.077328 306.193994 0.225000 0.189220 275.384033
-24.242282 306.737329 0.225000 0.188210 276.030321
-23.412680 307.262505 0.225000 0.187244 276.643941
-22.588248 307.769629 0.225000 0.186320 277.225677
-21.768723 308.258800 0.225000 0.185437 277.776299
-20.953852 308.730112 0.225000 0.184595 278.296525
-20.143396 309.183652 0.225000 0.183792 278.787128
-19.337123 309.619502 0.225000 0.183027 279.248758
-18.534813 310.037738 0.225000 0.182299 279.682198
-17.736252 310.438433 0.225000 0.181608 280.088069
-16.941235 310.821652 0.225000 0.180951 280.467014
-16.149565 311.187459 0.225000 0.180329 280.819701
-15.361050 311.535912 0.225000 0.179741 281.146746
-14.575505 311.867066 0.225000 0.179186 281.448712
-13.792751 312.180972 0.225000 0.178663 281.726189
-13.012614 312.477677 0.225000 0.178172 281.979750
-12.234924 312.757225 0.225000 0.177712 282.209957
-11.459516 313.019656 0.225000 0.177283 282.417279
-10.686230 313.265010 0.225000 0.176884 282.602250
-9.914909 313.493319 0.225000 0.176514 282.765350
-9.145398 313.704617 0.225000 0.176173 282.907046
-8.377548 313.898932 0.225000 0.175861 283.027749
-7.611211 314.076291 0.225000 0.175577 283.127939
-6.846240 314.236718 0.225000 0.175322 283.207958
-6.082494 314.380234 0.225000 0.175093 283.268215
-5.319832 314.506859 0.225000 0.174893 283.309063
-4.558113 314.616609 0.225000 0.174719 283.330884
-3.797202 314.709498 0.225000 0.174573 283.333959
