# Name of benchmark/experiment: FILLET Benchmark 3
# Case number: 0
# Instellation (S_earth): 1.0
# XCO2 (ppm): 280.0
# Obliquity (degrees): 60.0
# Mode: seasonal
#
# Columns of data (annually averaged for last orbit)
# Lat Tsurf Asurf ATOA OLR Fland
 -90.00   305.05 0.2250 0.2250   273.80 0.2500
 -77.83   304.59 0.2250 0.2250   272.87 0.2500
 -72.76   304.18 0.2250 0.2250   272.05 0.2500
 -68.84   303.78 0.2250 0.2250   271.26 0.2500
 -65.52   303.40 0.2250 0.2250   270.51 0.2500
 -62.58   303.05 0.2250 0.2250   269.79 0.2500
 -59.90   302.71 0.2250 0.2250   269.12 0.2500
 -57.43   302.39 0.2250 0.2250   268.49 0.2500
 -55.11   302.09 0.2250 0.2250   267.88 0.2500
 -52.92   301.80 0.2250 0.2250   267.30 0.2500
 -50.83   301.52 0.2250 0.2250   266.75 0.2500
 -48.83   301.26 0.2250 0.2250   266.21 0.2500
 -46.91   301.00 0.2250 0.2250   265.70 0.2500
 -45.06   300.76 0.2250 0.2250   265.21 0.2500
 -43.27   300.52 0.2250 0.2250   264.75 0.2500
 -41.52   300.31 0.2250 0.2250   264.31 0.2500
 -39.83   300.10 0.2250 0.2250   263.91 0.2500
 -38.17   299.92 0.2250 0.2250   263.53 0.2500
 -36.55   299.74 0.2250 0.2250   263.19 0.2500
 -34.96   299.59 0.2250 0.2250   262.87 0.2500
 -33.41   299.44 0.2250 0.2250   262.58 0.2500
 -31.88   299.31 0.2250 0.2250   262.31 0.2500
 -30.37   299.19 0.2250 0.2250   262.07 0.2500
 -28.89   299.08 0.2250 0.2250   261.86 0.2500
 -27.43   298.98 0.2250 0.2250   261.66 0.2500
 -25.99   298.89 0.2250 0.2250   261.49 0.2500
 -24.57   298.82 0.2250 0.2250   261.34 0.2500
 -23.16   298.75 0.2250 0.2250   261.20 0.2500
 -21.76   298.69 0.2250 0.2250   261.08 0.2500
 -20.38   298.64 0.2250 0.2250   260.98 0.2500
 -19.02   298.59 0.2250 0.2250   260.88 0.2500
 -17.66   298.55 0.2250 0.2250   260.80 0.2500
 -16.31   298.52 0.2250 0.2250   260.73 0.2500
 -14.98   298.49 0.2250 0.2250   260.67 0.2500
 -13.65   298.46 0.2250 0.2250   260.62 0.2500
 -12.33   298.44 0.2250 0.2250   260.58 0.2500
 -11.01   298.42 0.2250 0.2250   260.54 0.2500
  -9.70   298.40 0.2250 0.2250   260.51 0.2500
  -8.40   298.39 0.2250 0.2250   260.48 0.2500
  -7.10   298.38 0.2250 0.2250   260.46 0.2500
  -5.80   298.37 0.2250 0.2250   260.44 0.2500
  -4.51   298.36 0.2250 0.2250   260.43 0.2500
  -3.22   298.36 0.2250 0.2250   260.42 0.2500
  -1.93   298.36 0.2250 0.2250   260.41 0.2500
  -0.64   298.36 0.2250 0.2250   260.41 0.2500
   0.64   298.36 0.2250 0.2250   260.41 0.2500
   1.93   298.36 0.2250 0.2250   260.41 0.2500
   3.22   298.36 0.2250 0.2250   260.42 0.2500
   4.51   298.36 0.2250 0.2250   260.43 0.2500
   5.80   298.37 0.2250 0.2250   260.44 0.2500
   7.10   298.38 0.2250 0.2250   260.46 0.2500
   8.40   298.39 0.2250 0.2250   260.48 0.2500
   9.70   298.40 0.2250 0.2250   260.51 0.2500
  11.01   298.42 0.2250 0.2250   260.54 0.2500
  12.33   298.44 0.2250 0.2250   260.58 0.2500
  13.65   298.46 0.2250 0.2250   260.62 0.2500
  14.98   298.49 0.2250 0.2250   260.67 0.2500
  16.31   298.52 0.2250 0.2250   260.73 0.2500
  17.66   298.55 0.2250 0.2250   260.80 0.2500
  19.02   298.59 0.2250 0.2250   260.88 0.2500
  20.38   298.64 0.2250 0.2250   260.98 0.2500
  21.76   298.69 0.2250 0.2250   261.08 0.2500
  23.16   298.75 0.2250 0.2250   261.20 0.2500
  24.57   298.82 0.2250 0.2250   261.34 0.2500
  25.99   298.89 0.2250 0.2250   261.49 0.2500
  27.43   298.98 0.2250 0.2250   261.66 0.2500
  28.89   299.08 0.2250 0.2250   261.86 0.2500
  30.37   299.19 0.2250 0.2250   262.07 0.2500
  31.88   299.31 0.2250 0.2250   262.31 0.2500
  33.41   299.44 0.2250 0.2250   262.58 0.2500
  34.96   299.59 0.2250 0.2250   262.87 0.2500
  36.55   299.74 0.2250 0.2250   263.19 0.2500
  38.17   299.92 0.2250 0.2250   263.53 0.2500
  39.83   300.10 0.2250 0.2250   263.91 0.2500
  41.52   300.31 0.2250 0.2250   264.31 0.2500
  43.27   300.52 0.2250 0.2250   264.75 0.2500
  45.06   300.76 0.2250 0.2250   265.21 0.2500
  46.91   301.00 0.2250 0.2250   265.70 0.2500
  48.83   301.26 0.2250 0.2250   266.21 0.2500
  50.83   301.52 0.2250 0.2250   266.75 0.2500
  52.92   301.80 0.2250 0.2250   267.30 0.2500
  55.11   302.09 0.2250 0.2250   267.88 0.2500
  57.43   302.39 0.2250 0.2250   268.49 0.2500
  59.90   302.71 0.2250 0.2250   269.12 0.2500
  62.58   303.05 0.2250 0.2250   269.79 0.2500
  65.52   303.40 0.2250 0.2250   270.51 0.2500
  68.84   303.78 0.2250 0.2250   271.26 0.2500
  72.76   304.18 0.2250 0.2250   272.05 0.2500
  77.83   304.59 0.2250 0.2250   272.87 0.2500
  90.00   305.05 0.2250 0.2250   273.80 0.2500
