# Name of benchmark/experiment: FILLET Experiment 1 (warm start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 0.8 0.0 280.0 221.91771592566633 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 107.5354318513327
1 0.825 0.0 280.0 223.59792080866407 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 110.89584161732819
2 0.85 0.0 280.0 262.7685281743722 90.0 36.54868485589703 90.0 36.54868485589703 -36.54868485589703 -90.0 -36.54868485589703 -90.0 0.5 189.23705634874446
3 0.875 0.0 280.0 273.802199343373 90.0 48.83429056727908 90.0 48.83429056727908 -48.83429056727908 -90.0 -48.83429056727908 -90.0 0.5 211.30439868674597
4 0.9 0.0 280.0 280.82519568548645 90.0 57.425982177408926 90.0 57.425982177408926 -57.425982177408926 -90.0 -57.425982177408926 -90.0 0.5 225.35039137097297
5 0.925 0.0 280.0 285.69130441420316 90.0 62.578228140751904 90.0 62.578228140751904 -62.578228140751904 -90.0 -62.578228140751904 -90.0 0.5 235.08260882840634
6 0.95 0.0 280.0 290.3683863201323 90.0 68.84130700058387 90.0 68.84130700058387 -68.84130700058387 -90.0 -68.84130700058387 -90.0 0.5 244.43677264026454
7 0.975 0.0 280.0 294.2199019104249 90.0 72.75700252390558 90.0 72.75700252390558 -72.75700252390558 -90.0 -72.75700252390558 -90.0 0.5 252.13980382084975
8 1.0 0.0 280.0 297.98753546921694 90.0 77.83045665700186 90.0 77.83045665700186 -77.83045665700186 -90.0 -77.83045665700186 -90.0 0.5 259.6750709384339
9 1.025 0.0 280.0 301.62348450607584 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 266.94696901215167
10 1.05 0.0 280.0 304.8780964616824 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 273.45619292336477
11 1.075 0.0 280.0 308.1335265649537 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 279.9670531299074
12 1.1 0.0 280.0 311.38892885190376 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 286.4778577038077
