# Name of benchmark/experiment: FILLET Experiment 2 (cold start)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 1.05 0.0 280.0 238.71909243123315 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 141.13818486246637
1 1.075 0.0 280.0 240.3993644944572 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 144.4987289889144
2 1.1 0.0 280.0 242.07955203416802 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 147.85910406833608
3 1.125 0.0 280.0 243.75983056742555 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 151.21966113485118
4 1.15 0.0 280.0 245.44002552529048 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 154.58005105058095
5 1.175 0.0 280.0 247.12022048315535 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 157.94044096631075
6 1.2 0.0 280.0 248.80050754041557 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 161.30101508083118
7 1.225 0.0 280.0 250.4807085311239 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 164.66141706224784
8 1.25 0.0 280.0 252.16090952183217 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 168.02181904366438
9 1.275 0.0 280.0 334.17697854500386 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 332.05395709000766
10 1.3 0.0 280.0 337.43244868047304 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 338.56489736094613
11 1.325 0.0 280.0 340.6878626760967 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 345.07572535219344
12 1.35 0.0 280.0 343.94331307215333 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 351.58662614430676
