# Name of benchmark/experiment: FILLET Experiment 2a (cold start, au)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob
0 1.5624999999999996 0.0 280.0 371.61457129619123 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 406.9291425923827
1 1.5147928994082842 0.0 280.0 365.4022377873739 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 394.5044755747478
2 1.4692378328741966 0.0 280.0 359.47022043437926 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 382.6404408687587
3 1.4257072844731566 0.0 280.0 353.8017203509347 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 371.30344070186953
4 1.384083044982699 0.0 280.0 348.38152950548795 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 360.463059010976
5 1.3442554085276202 0.0 280.0 343.19533536352367 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 350.0906707270473
6 1.306122448979592 0.0 280.0 338.22974459036845 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 340.15948918073695
7 1.2695893671890497 0.0 280.0 333.47248838149596 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.64497676299203
8 1.2345679012345678 0.0 280.0 251.1237484164567 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 165.94749683291343
9 1.2009757928316758 0.0 280.0 248.86608866371589 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 161.43217732743182
10 1.168736303871439 0.0 280.0 246.6992512570431 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 157.09850251408622
11 1.1377777777777778 0.0 280.0 244.61859687922316 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 152.93719375844637
12 1.10803324099723 0.0 280.0 242.6194460912496 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 148.93889218249922
13 1.0794400404790014 0.0 280.0 240.6977685220024 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 145.09553704400486
14 1.0519395134779752 0.0 280.0 238.84944157872854 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 141.39888315745713
15 1.5624999999999996 10.0 280.0 372.32780093645965 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 408.35560187291946
16 1.5147928994082842 10.0 280.0 366.09377973706796 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 395.8875594741359
17 1.4692378328741966 10.0 280.0 360.14087371983584 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 383.9817474396717
18 1.4257072844731566 10.0 280.0 354.45259241716735 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 372.6051848343348
19 1.384083044982699 10.0 280.0 349.01339504055994 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 361.72679008111993
20 1.3442554085276202 10.0 280.0 343.80892715530484 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 351.3178543106097
