# Name of benchmark/experiment: FILLET Experiment 3 (instellation bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
0 1.5 23.5 280.0 364.77056855854516 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 393.24113711709043 cooling
1 1.4875 23.5 280.0 363.1328556475935 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 389.9657112951871 cooling
2 1.475 23.5 280.0 361.49434760041675 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 386.6886952008336 cooling
3 1.4625 23.5 280.0 359.8558393705856 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 383.41167874117133 cooling
4 1.45 23.5 280.0 358.21733114071276 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 380.13466228142556 cooling
5 1.4375 23.5 280.0 356.5788229108397 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 376.8576458216796 cooling
6 1.425 23.5 280.0 354.94031468096676 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 373.5806293619334 cooling
7 1.4125 23.5 280.0 353.30180645109374 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 370.3036129021876 cooling
8 1.4 23.5 280.0 351.66329822122077 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 367.0265964424415 cooling
9 1.3875 23.5 280.0 350.02478999134775 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 363.7495799826956 cooling
10 1.375 23.5 280.0 348.38628176147483 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 360.47256352294966 cooling
11 1.3625 23.5 280.0 346.74777353160175 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 357.1955470632036 cooling
12 1.35 23.5 280.0 345.1092653017288 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 353.91853060345767 cooling
13 1.3375 23.5 280.0 343.4707570718558 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 350.6415141437117 cooling
14 1.325 23.5 280.0 341.83224884198285 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 347.3644976839658 cooling
15 1.3125 23.5 280.0 340.1937406121099 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 344.0874812242198 cooling
16 1.3 23.5 280.0 338.55523238223685 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 340.8104647644738 cooling
17 1.2875 23.5 280.0 336.91672415236394 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 337.5334483047278 cooling
18 1.275 23.5 280.0 335.27821592249086 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 334.25643184498176 cooling
19 1.2625 23.5 280.0 333.6397076926179 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 330.9794153852358 cooling
20 1.25 23.5 280.0 332.00119946274486 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 327.7023989254899 cooling
21 1.2375 23.5 280.0 330.3626912328719 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 324.4253824657438 cooling
22 1.225 23.5 280.0 328.7241830029989 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 321.14836600599784 cooling
23 1.2125 23.5 280.0 327.0856747731259 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 317.8713495462519 cooling
24 1.2 23.5 280.0 325.44716654325293 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 314.59433308650597 cooling
25 1.1875 23.5 280.0 323.80865831337996 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 311.3173166267599 cooling
26 1.175 23.5 280.0 322.17015008350694 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 308.0403001670139 cooling
27 1.1625 23.5 280.0 320.53164185363397 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 304.763283707268 cooling
28 1.15 23.5 280.0 318.893133623761 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 301.486267247522 cooling
29 1.1375 23.5 280.0 317.254625393888 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 298.209250787776 cooling
30 1.125 23.5 280.0 315.616117164015 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 294.93223432803006 cooling
31 1.1125 23.5 280.0 313.97760893414204 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 291.6552178682841 cooling
32 1.1 23.5 280.0 312.339100704269 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 288.378201408538 cooling
33 1.0875 23.5 280.0 310.70059247439605 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 285.1011849487921 cooling
34 1.075 23.5 280.0 309.062084244523 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 281.8241684890462 cooling
35 1.0625 23.5 280.0 307.42357601465005 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 278.5471520293002 cooling
36 1.05 23.5 280.0 305.7850677847771 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 275.27013556955427 cooling
37 1.0375 23.5 280.0 304.14655955490406 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 271.9931191098082 cooling
38 1.025 23.5 280.0 302.5080513250311 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 268.7161026500622 cooling
39 1.0125 23.5 280.0 300.8695430951581 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 265.43908619031623 cooling
40 1.0 23.5 280.0 299.2310348652851 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1620697305703 cooling
41 0.9874999999999999 23.5 280.0 297.5925266354121 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 258.8850532708242 cooling
42 0.975 23.5 280.0 295.9540037535044 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 255.6080075070089 cooling
43 0.9625 23.5 280.0 293.88643206146963 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 251.47286412293926 cooling
44 0.9500000000000001 23.5 280.0 291.7393590602457 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 247.17871812049145 cooling
45 0.9375 23.5 280.0 289.2169060234926 90.0 77.83045665700186 90.0 77.83045665700186 -77.83045665700186 -90.0 -77.83045665700186 -90.0 0.5 242.1338120469852 cooling
46 0.9249999999999999 23.5 280.0 286.85142292725305 90.0 68.84130700058387 90.0 68.84130700058387 -68.84130700058387 -90.0 -68.84130700058387 -90.0 0.5 237.4028458545061 cooling
47 0.9125 23.5 280.0 283.63924412506015 90.0 62.578228140751904 90.0 62.578228140751904 -62.578228140751904 -90.0 -62.578228140751904 -90.0 0.5 230.97848825012034 cooling
48 0.9 23.5 280.0 280.2857610716234 90.0 57.425982177408926 90.0 57.425982177408926 -57.425982177408926 -90.0 -57.425982177408926 -90.0 0.5 224.27152214324684 cooling
49 0.8875000000000001 23.5 280.0 275.7956748955156 90.0 50.83050677816714 90.0 50.83050677816714 -50.83050677816714 -90.0 -50.83050677816714 -90.0 0.5 215.29134979103125 cooling
50 0.875 23.5 280.0 269.94167968023726 90.0 43.266542547246864 90.0 43.266542547246864 -43.266542547246864 -90.0 -43.266542547246864 -90.0 0.5 203.5833593604745 cooling
51 0.8624999999999999 23.5 280.0 226.50247178440068 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 116.7049435688014 cooling
52 0.85 23.5 280.0 225.65679675146288 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.01359350292579 cooling
53 0.8375 23.5 280.0 224.8111151018247 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 113.32223020364945 cooling
54 0.8250000000000001 23.5 280.0 223.96543344871176 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.63086689742363 cooling
55 0.8125 23.5 280.0 223.119751795597 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 109.93950359119405 cooling
56 0.7999999999999999 23.5 280.0 222.27407014248226 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.24814028496455 cooling
57 0.7999999999999999 23.5 280.0 222.27400037717447 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 108.248000754349 warming
58 0.8125 23.5 280.0 223.11886353937913 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 109.9377270787583 warming
59 0.8250000000000001 23.5 280.0 223.9645447626633 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 111.62908952532669 warming
60 0.8375 23.5 280.0 224.81022641555236 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 113.32045283110475 warming
61 0.85 23.5 280.0 225.65590806866697 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 115.01181613733402 warming
62 0.8624999999999999 23.5 280.0 226.50158972178173 90.0 0.0 90.0 0.0 0.0 -90.0 0.0 -90.0 0.5 116.70317944356351 warming
