# Name of benchmark/experiment: FILLET Experiment 4 (CO₂ bifurcation)
# Model: AVALON (Albedo-feedback Variable Axial-tilt Latitudinal Outgoing-Net EBM)
# Mode: seasonal
# Ice line definition: latitude where annual-mean surface temperature crosses -10.0 °C
# Ice-free convention: NMaxLand=NMinLand=NMaxSea=NMinSea=90; SMaxLand=SMinLand=SMaxSea=SMinSea=-90
# Case Inst Obl XCO2 Tglob IceLineNMaxLand IceLineNMinLand IceLineNMaxSea IceLineNMinSea IceLineSMaxLand IceLineSMinLand IceLineSMaxSea IceLineSMinSea Diff OLRglob Branch
0 1.0 23.5 100000.0 314.95425126909817 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1604756775611 cooling
1 1.0 23.5 79060.43210907701 314.32648775905983 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1619721521291 cooling
2 1.0 23.5 62505.51925273976 313.6979764046742 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1619729380025 cooling
3 1.0 23.5 49417.13361323838 313.06946465755834 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.16197293841554 cooling
4 1.0 23.5 39069.39937054621 312.44095291023604 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1619729384157 cooling
5 1.0 23.5 30888.435964774784 311.81244116291373 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1619729384157 cooling
6 1.0 23.5 24420.5309454865 311.1839294155915 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.16197293841606 cooling
7 1.0 23.5 19306.977288832495 310.555417668269 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1619729384157 cooling
8 1.0 23.5 15264.179671752334 309.92690592094675 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.161972938416 cooling
9 1.0 23.5 12067.92640639329 309.2983941736243 90.0 90.0 90.0 90.0 -90.0 -90.0 -90.0 -90.0 0.5 262.1619729384157 cooling
