# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 1                                                                                         
#                   Case number:          0
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.4500
# Additional Information
#          Orbital eccentricity:       0.0167
# Longitude of perihelion passag     -77.0000
# Cloud modification by cloud (W      -1.1719
#                   Land albedo:       0.1000
#               Ice/snow albedo:       0.6560
#                Cloud coverage:       0.4282
# Ocean albedo varies with cosZA
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
        -90.00      262.10      0.7426      0.7807      196.36      0.6329
        -89.00      262.12      0.7426      0.7806      196.38      0.5149
        -88.00      262.15      0.7425      0.7803      196.45      0.2474
        -87.00      262.21      0.7422      0.7798      196.57      0.2447
        -86.00      262.30      0.7419      0.7791      196.73      0.2409
        -85.00      262.41      0.7415      0.7783      196.93      0.2991
        -84.00      262.54      0.7411      0.7772      197.19      0.4355
        -83.00      262.70      0.7405      0.7759      197.48      0.5246
        -82.00      262.89      0.7398      0.7744      197.83      0.5463
        -81.00      263.09      0.7391      0.7727      198.22      0.5518
        -80.00      263.33      0.7382      0.7708      198.65      0.5755
        -79.00      263.58      0.7373      0.7687      199.13      0.5956
        -78.00      263.87      0.7362      0.7663      199.66      0.5823
        -77.00      264.17      0.7350      0.7637      200.22      0.5371
        -76.00      264.50      0.7338      0.7608      200.84      0.5572
        -75.00      264.86      0.7315      0.7572      201.49      0.5646
        -74.00      265.23      0.7220      0.7496      202.19      0.5982
        -73.00      265.64      0.7095      0.7401      202.93      0.6191
        -72.00      266.06      0.6929      0.7281      203.72      0.6561
        -71.00      266.51      0.6707      0.7126      204.54      0.7189
        -70.00      266.99      0.6444      0.6944      205.40      0.7749
        -69.00      267.48      0.6131      0.6729      206.29      0.8392
        -68.00      267.99      0.5811      0.6502      207.22      0.8837
        -67.00      268.53      0.5489      0.6264      208.18      0.9187
        -66.00      269.08      0.5120      0.5981      209.17      0.9691
        -65.00      269.65      0.4836      0.5747      210.18      0.9909
        -64.00      270.23      0.4634      0.5560      211.21      0.9938
        -63.00      270.82      0.4466      0.5392      212.26      0.9983
        -62.00      271.43      0.4339      0.5247      213.33      0.9994
        -61.00      272.06      0.4238      0.5118      214.41      0.9995
        -60.00      272.69      0.4151      0.4996      215.51      0.9999
        -59.00      273.33      0.4071      0.4878      216.61      1.0000
        -58.00      273.99      0.3996      0.4763      217.72      1.0000
        -57.00      274.65      0.3925      0.4652      218.84      0.9999
        -56.00      275.32      0.3856      0.4542      219.96      0.9980
        -55.00      276.00      0.3790      0.4434      221.09      0.9889
        -54.00      276.68      0.3727      0.4328      222.21      0.9860
        -53.00      277.37      0.3669      0.4224      223.34      0.9866
        -52.00      278.06      0.3612      0.4122      224.46      0.9817
        -51.00      278.76      0.3558      0.4022      225.57      0.9819
        -50.00      279.46      0.3506      0.3923      226.68      0.9797
        -49.00      280.16      0.3456      0.3825      227.78      0.9759
        -48.00      280.86      0.3408      0.3730      228.87      0.9751
        -47.00      281.56      0.3362      0.3636      229.95      0.9751
        -46.00      282.26      0.3318      0.3544      231.01      0.9704
        -45.00      282.96      0.3276      0.3453      232.06      0.9674
        -44.00      283.65      0.3235      0.3364      233.09      0.9663
        -43.00      284.34      0.3196      0.3277      234.10      0.9626
        -42.00      285.03      0.3159      0.3191      235.09      0.9602
        -41.00      285.71      0.3122      0.3107      236.06      0.9597
        -40.00      286.38      0.3086      0.3024      237.01      0.9609
        -39.00      287.05      0.3054      0.2944      237.94      0.9520
        -38.00      287.70      0.3025      0.2868      238.84      0.9309
        -37.00      288.35      0.2995      0.2791      239.72      0.9240
        -36.00      288.99      0.2965      0.2716      240.57      0.9222
        -35.00      289.61      0.2938      0.2645      241.39      0.9113
        -34.00      290.23      0.2918      0.2620      242.19      0.8771
        -33.00      290.83      0.2898      0.2595      242.96      0.8492
        -32.00      291.41      0.2878      0.2570      243.70      0.8261
        -31.00      291.99      0.2859      0.2545      244.42      0.8057
        -30.00      292.55      0.2838      0.2520      245.10      0.7970
        -29.00      293.09      0.2817      0.2495      245.77      0.7910
        -28.00      293.62      0.2797      0.2472      246.40      0.7840
        -27.00      294.13      0.2777      0.2448      247.01      0.7803
        -26.00      294.63      0.2757      0.2425      247.59      0.7782
        -25.00      295.12      0.2741      0.2405      248.15      0.7682
        -24.00      295.58      0.2725      0.2385      248.68      0.7587
        -23.00      296.03      0.2709      0.2366      249.18      0.7518
        -22.00      296.46      0.2693      0.2347      249.66      0.7484
        -21.00      296.88      0.2676      0.2328      250.12      0.7521
        -20.00      297.27      0.2657      0.2308      250.55      0.7616
        -19.00      297.65      0.2642      0.2291      250.95      0.7644
        -18.00      298.01      0.2629      0.2276      251.33      0.7592
