# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 2/untuned                                                                                 
#                   Case number:          0
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.5000
# Additional Information
#          Orbital eccentricity:       0.0000
# Longitude of perihelion passag       0.0000
# Cloud modification by cloud (W       0.0000
#                   Land albedo:       0.3000
#                  Ocean albedo:       0.2000
#               Ice/snow albedo:       0.6000
#                Cloud coverage:       0.0000
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
        -90.00      342.61      0.4222      0.2250      269.56      0.7500
        -89.00      342.63      0.4221      0.2250      269.56      0.7500
        -88.00      342.70      0.4215      0.2250      269.57      0.7500
        -87.00      342.82      0.4205      0.2250      269.58      0.7500
        -86.00      342.98      0.4192      0.2250      269.60      0.7500
        -85.00      343.19      0.4176      0.2250      269.62      0.7500
        -84.00      343.45      0.4156      0.2250      269.65      0.7500
        -83.00      343.75      0.4134      0.2250      269.69      0.7500
        -82.00      344.10      0.4107      0.2250      269.73      0.7500
        -81.00      344.49      0.4077      0.2250      269.77      0.7500
        -80.00      344.93      0.4045      0.2250      269.83      0.7500
        -79.00      345.42      0.4010      0.2250      269.89      0.7500
        -78.00      345.94      0.3974      0.2250      269.97      0.7500
        -77.00      346.51      0.3935      0.2250      270.06      0.7500
        -76.00      347.13      0.3894      0.2250      270.16      0.7500
        -75.00      347.79      0.3853      0.2250      270.28      0.7500
        -74.00      348.49      0.3811      0.2250      270.41      0.7500
        -73.00      349.23      0.3769      0.2250      270.57      0.7500
        -72.00      350.02      0.3726      0.2250      270.75      0.7500
        -71.00      350.84      0.3681      0.2250      270.75      0.7500
        -70.00      351.70      0.3632      0.2250      270.75      0.7500
        -69.00      352.60      0.3579      0.2250      270.75      0.7500
        -68.00      353.54      0.3520      0.2250      270.75      0.7500
        -67.00      354.51      0.3453      0.2250      270.75      0.7500
        -66.00      355.51      0.3369      0.2250      270.75      0.7500
        -65.00      356.54      0.3292      0.2250      270.75      0.7500
        -64.00      357.61      0.3219      0.2250      270.75      0.7500
        -63.00      358.70      0.3148      0.2250      270.75      0.7500
        -62.00      359.82      0.3079      0.2250      270.75      0.7500
        -61.00      360.96      0.3011      0.2250      270.75      0.7500
        -60.00      362.12      0.2945      0.2250      270.75      0.7500
        -59.00      363.30      0.2879      0.2250      270.75      0.7500
        -58.00      364.50      0.2815      0.2250      270.75      0.7500
        -57.00      365.72      0.2751      0.2250      270.75      0.7500
        -56.00      366.95      0.2690      0.2250      270.75      0.7500
        -55.00      368.19      0.2634      0.2250      270.75      0.7500
        -54.00      369.43      0.2581      0.2250      270.75      0.7500
        -53.00      370.69      0.2530      0.2250      270.75      0.7500
        -52.00      371.95      0.2481      0.2250      270.75      0.7500
        -51.00      373.22      0.2434      0.2250      270.75      0.7500
        -50.00      374.49      0.2389      0.2250      270.75      0.7500
        -49.00      375.75      0.2344      0.2250      270.75      0.7500
        -48.00      377.02      0.2302      0.2250      270.75      0.7500
        -47.00      378.28      0.2260      0.2250      270.75      0.7500
        -46.00      379.54      0.2220      0.2250      270.75      0.7500
        -45.00      380.79      0.2181      0.2250      270.75      0.7500
        -44.00      382.03      0.2143      0.2250      270.75      0.7500
        -43.00      383.26      0.2106      0.2250      270.75      0.7500
        -42.00      384.48      0.2071      0.2250      270.75      0.7500
        -41.00      385.68      0.2036      0.2250      270.75      0.7500
        -40.00      386.87      0.2003      0.2250      270.75      0.7500
        -39.00      388.05      0.1971      0.2250      270.75      0.7500
        -38.00      389.20      0.1940      0.2250      270.75      0.7500
        -37.00      390.34      0.1910      0.2250      270.75      0.7500
        -36.00      391.45      0.1881      0.2250      270.75      0.7500
        -35.00      392.54      0.1853      0.2250      270.75      0.7500
        -34.00      393.61      0.1827      0.2250      270.75      0.7500
        -33.00      394.65      0.1801      0.2250      270.75      0.7500
