# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 2/tuned                                                                                   
#                   Case number:          1
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      23.5000
# Additional Information
#          Orbital eccentricity:       0.0000
# Longitude of perihelion passag       0.0000
# Cloud modification by cloud (W      -1.1719
#                   Land albedo:       0.1000
#               Ice/snow albedo:       0.6560
#                Cloud coverage:       0.4282
# Ocean albedo varies with cosZA
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
        -90.00      260.06      0.7435      0.7857      192.49      0.7500
        -89.00      260.07      0.7434      0.7856      192.51      0.7500
        -88.00      260.11      0.7433      0.7853      192.58      0.7500
        -87.00      260.17      0.7431      0.7849      192.70      0.7500
        -86.00      260.25      0.7428      0.7842      192.86      0.7500
        -85.00      260.36      0.7425      0.7834      193.06      0.7500
        -84.00      260.49      0.7420      0.7824      193.31      0.7500
        -83.00      260.65      0.7415      0.7812      193.61      0.7500
        -82.00      260.83      0.7408      0.7798      193.95      0.7500
        -81.00      261.03      0.7401      0.7782      194.34      0.7500
        -80.00      261.26      0.7393      0.7765      194.77      0.7500
        -79.00      261.51      0.7385      0.7745      195.25      0.7500
        -78.00      261.79      0.7375      0.7722      195.77      0.7500
        -77.00      262.09      0.7364      0.7698      196.33      0.7500
        -76.00      262.42      0.7352      0.7671      196.94      0.7500
        -75.00      262.76      0.7339      0.7642      197.60      0.7500
        -74.00      263.14      0.7325      0.7609      198.30      0.7500
        -73.00      263.53      0.7309      0.7574      199.04      0.7500
        -72.00      263.95      0.7292      0.7536      199.82      0.7500
        -71.00      264.40      0.7274      0.7494      200.64      0.7500
