# Use this header for notes and global details
#  Name of benchmark/experiment: Benchmark 3/tuned                                                                                   
#                   Case number:          1
#        Instellation (S_earth):       1.0000
#                    XCO2 (ppm):     280.0000
#           Obliquity (degrees):      60.0000
# Additional Information
#          Orbital eccentricity:       0.0000
# Longitude of perihelion passag       0.0000
# Cloud modification by cloud (W      -1.1719
#                   Land albedo:       0.1000
#                  Ocean albedo:       0.2000
#               Ice/snow albedo:       0.6560
#                Cloud coverage:       0.4282
# Cloud albedo varies with cosZA

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# Foc = Ocean fraction

#          Lat       Tsurf       Asurf        ATOA         OLR         Foc
        -90.00      209.56      0.7012      0.7661       97.44      0.7500
        -89.00      209.56      0.7012      0.7661       97.45      0.7500
        -88.00      209.56      0.7011      0.7660       97.45      0.7500
        -87.00      209.57      0.7011      0.7659       97.46      0.7500
        -86.00      209.57      0.7010      0.7658       97.46      0.7500
        -85.00      209.58      0.7009      0.7657       97.48      0.7500
        -84.00      209.59      0.7008      0.7655       97.49      0.7500
        -83.00      209.60      0.7007      0.7653       97.50      0.7500
        -82.00      209.61      0.7006      0.7650       97.52      0.7500
        -81.00      209.62      0.7004      0.7647       97.54      0.7500
        -80.00      209.64      0.7002      0.7644       97.57      0.7500
        -79.00      209.65      0.7000      0.7641       97.59      0.7500
        -78.00      209.67      0.6998      0.7637       97.62      0.7500
        -77.00      209.69      0.6995      0.7633       97.65      0.7500
        -76.00      209.71      0.6993      0.7628       97.69      0.7500
        -75.00      209.73      0.6990      0.7623       97.72      0.7500
        -74.00      209.75      0.6987      0.7618       97.76      0.7500
        -73.00      209.78      0.6984      0.7612       97.80      0.7500
        -72.00      209.80      0.6980      0.7606       97.84      0.7500
        -71.00      209.83      0.6977      0.7600       97.89      0.7500
        -70.00      209.86      0.6973      0.7594       97.94      0.7500
        -69.00      209.89      0.6969      0.7587       97.99      0.7500
        -68.00      209.93      0.6965      0.7580       98.04      0.7500
        -67.00      209.96      0.6961      0.7572       98.10      0.7500
        -66.00      210.00      0.6956      0.7564       98.16      0.7500
        -65.00      210.03      0.6952      0.7556       98.22      0.7500
        -64.00      210.07      0.6947      0.7547       98.28      0.7500
        -63.00      210.11      0.6942      0.7538       98.35      0.7500
        -62.00      210.15      0.6936      0.7529       98.42      0.7500
        -61.00      210.20      0.6931      0.7519       98.49      0.7500
        -60.00      210.24      0.6925      0.7509       98.57      0.7500
        -59.00      210.29      0.6919      0.7499       98.64      0.7500
        -58.00      210.34      0.6913      0.7488       98.72      0.7500
        -57.00      210.39      0.6907      0.7476       98.81      0.7500
        -56.00      210.44      0.6900      0.7465       98.89      0.7500
        -55.00      210.49      0.6894      0.7453       98.98      0.7500
        -54.00      210.55      0.6887      0.7440       99.07      0.7500
        -53.00      210.60      0.6879      0.7427       99.16      0.7500
        -52.00      210.66      0.6872      0.7414       99.26      0.7500
        -51.00      210.72      0.6864      0.7400       99.36      0.7500
        -50.00      210.78      0.6857      0.7386       99.46      0.7500
        -49.00      210.84      0.6849      0.7371       99.56      0.7500
        -48.00      210.91      0.6840      0.7356       99.67      0.7500
        -47.00      210.98      0.6832      0.7341       99.78      0.7500
        -46.00      211.04      0.6823      0.7325       99.89      0.7500
        -45.00      211.11      0.6814      0.7309      100.00      0.7500
        -44.00      211.18      0.6805      0.7292      100.12      0.7500
        -43.00      211.25      0.6795      0.7274      100.24      0.7500
        -42.00      211.33      0.6786      0.7256      100.36      0.7500
        -41.00      211.40      0.6776      0.7238      100.49      0.7500
        -40.00      211.48      0.6765      0.7218      100.61      0.7500
        -39.00      211.55      0.6755      0.7199      100.74      0.7500
        -38.00      211.63      0.6744      0.7178      100.87      0.7500
        -37.00      211.71      0.6732      0.7157      101.01      0.7500
        -36.00      211.79      0.6721      0.7135      101.14      0.7500
        -35.00      211.88      0.6709      0.7112      101.28      0.7500
        -34.00      211.96      0.6696      0.7088      101.42      0.7500
        -33.00      212.04      0.6682      0.7063      101.56      0.7500
        -32.00      212.13      0.6668      0.7036      101.70      0.7500
        -31.00      212.22      0.6653      0.7007      101.85      0.7500
        -30.00      212.30      0.6635      0.6973      101.99      0.7500
        -29.00      212.39      0.6616      0.6936      102.14      0.7500
        -28.00      212.47      0.6599      0.6904      102.28      0.7500
        -27.00      212.56      0.6583      0.6873      102.43      0.7500
        -26.00      212.65      0.6568      0.6844      102.57      0.7500
        -25.00      212.73      0.6553      0.6816      102.72      0.7500
        -24.00      212.82      0.6539      0.6789      102.86      0.7500
        -23.00      212.90      0.6526      0.6763      103.00      0.7500
        -22.00      212.98      0.6514      0.6738      103.14      0.7500
        -21.00      213.06      0.6502      0.6715      103.27      0.7500
        -20.00      213.14      0.6490      0.6692      103.41      0.7500
        -19.00      213.22      0.6479      0.6671      103.54      0.7500
        -18.00      213.29      0.6469      0.6650      103.67      0.7500
        -17.00      213.37      0.6459      0.6630      103.79      0.7500
        -16.00      213.44      0.6450      0.6612      103.91      0.7500
        -15.00      213.50      0.6441      0.6594      104.02      0.7500
        -14.00      213.57      0.6433      0.6578      104.14      0.7500
        -13.00      213.63      0.6425      0.6563      104.24      0.7500
        -12.00      213.69      0.6418      0.6548      104.34      0.7500
        -11.00      213.75      0.6412      0.6535      104.44      0.7500
        -10.00      213.80      0.6406      0.6523      104.53      0.7500
         -9.00      213.85      0.6400      0.6511      104.62      0.7500
         -8.00      213.90      0.6395      0.6501      104.70      0.7500
         -7.00      213.94      0.6391      0.6492      104.77      0.7500
         -6.00      213.98      0.6387      0.6484      104.84      0.7500
         -5.00      214.02      0.6383      0.6477      104.91      0.7500
         -4.00      214.06      0.6381      0.6471      104.96      0.7500
         -3.00      214.08      0.6378      0.6467      105.01      0.7500
         -2.00      214.11      0.6377      0.6463      105.06      0.7500
         -1.00      214.13      0.6375      0.6461      105.10      0.7500
          0.00      214.15      0.6375      0.6459      105.13      0.7500
          1.00      214.17      0.6375      0.6459      105.15      0.7500
          2.00      214.18      0.6375      0.6460      105.17      0.7500
          3.00      214.18      0.6376      0.6462      105.18      0.7500
          4.00      214.19      0.6378      0.6465      105.19      0.7500
          5.00      214.19      0.6380      0.6469      105.19      0.7500
          6.00      214.18      0.6382      0.6474      105.18      0.7500
          7.00      214.18      0.6386      0.6480      105.17      0.7500
          8.00      214.17      0.6389      0.6488      105.15      0.7500
          9.00      214.15      0.6394      0.6496      105.13      0.7500
         10.00      214.13      0.6398      0.6506      105.10      0.7500
         11.00      214.11      0.6404      0.6516      105.06      0.7500
         12.00      214.09      0.6410      0.6528      105.02      0.7500
         13.00      214.06      0.6416      0.6541      104.97      0.7500
         14.00      214.03      0.6423      0.6555      104.92      0.7500
         15.00      213.99      0.6430      0.6570      104.86      0.7500
         16.00      213.96      0.6439      0.6586      104.80      0.7500
         17.00      213.92      0.6447      0.6603      104.73      0.7500
         18.00      213.88      0.6456      0.6621      104.66      0.7500
         19.00      213.83      0.6466      0.6640      104.58      0.7500
         20.00      213.78      0.6476      0.6661      104.50      0.7500
         21.00      213.74      0.6487      0.6682      104.42      0.7500
         22.00      213.68      0.6498      0.6704      104.33      0.7500
         23.00      213.63      0.6510      0.6728      104.24      0.7500
         24.00      213.58      0.6523      0.6753      104.15      0.7500
         25.00      213.52      0.6536      0.6778      104.05      0.7500
         26.00      213.46      0.6550      0.6805      103.95      0.7500
         27.00      213.41      0.6565      0.6834      103.86      0.7500
         28.00      213.35      0.6580      0.6864      103.76      0.7500
         29.00      213.29      0.6597      0.6896      103.65      0.7500
         30.00      213.23      0.6616      0.6932      103.55      0.7500
         31.00      213.17      0.6634      0.6966      103.45      0.7500
         32.00      213.11      0.6649      0.6995      103.35      0.7500
         33.00      213.05      0.6663      0.7021      103.25      0.7500
         34.00      212.99      0.6676      0.7045      103.15      0.7500
         35.00      212.93      0.6688      0.7069      103.05      0.7500
         36.00      212.87      0.6700      0.7091      102.95      0.7500
         37.00      212.81      0.6711      0.7112      102.85      0.7500
         38.00      212.76      0.6723      0.7133      102.76      0.7500
         39.00      212.70      0.6733      0.7153      102.66      0.7500
         40.00      212.64      0.6744      0.7173      102.57      0.7500
         41.00      212.59      0.6754      0.7192      102.48      0.7500
         42.00      212.54      0.6764      0.7210      102.39      0.7500
         43.00      212.49      0.6773      0.7227      102.30      0.7500
         44.00      212.43      0.6782      0.7244      102.22      0.7500
         45.00      212.38      0.6791      0.7260      102.13      0.7500
         46.00      212.34      0.6800      0.7277      102.05      0.7500
         47.00      212.29      0.6809      0.7293      101.97      0.7500
         48.00      212.24      0.6817      0.7307      101.89      0.7500
         49.00      212.20      0.6825      0.7321      101.82      0.7500
         50.00      212.15      0.6832      0.7336      101.74      0.7500
         51.00      212.11      0.6840      0.7349      101.67      0.7500
         52.00      212.07      0.6847      0.7363      101.60      0.7500
         53.00      212.03      0.6855      0.7376      101.53      0.7500
         54.00      211.99      0.6862      0.7389      101.47      0.7500
         55.00      211.95      0.6868      0.7401      101.40      0.7500
         56.00      211.91      0.6875      0.7412      101.34      0.7500
         57.00      211.88      0.6881      0.7423      101.28      0.7500
         58.00      211.84      0.6887      0.7434      101.22      0.7500
         59.00      211.81      0.6893      0.7445      101.16      0.7500
         60.00      211.77      0.6899      0.7455      101.11      0.7500
         61.00      211.74      0.6904      0.7465      101.06      0.7500
         62.00      211.71      0.6909      0.7474      101.01      0.7500
         63.00      211.68      0.6914      0.7483      100.96      0.7500
         64.00      211.66      0.6919      0.7491      100.91      0.7500
         65.00      211.63      0.6924      0.7499      100.87      0.7500
         66.00      211.60      0.6928      0.7507      100.82      0.7500
         67.00      211.58      0.6932      0.7515      100.78      0.7500
         68.00      211.56      0.6936      0.7522      100.74      0.7500
         69.00      211.53      0.6940      0.7528      100.71      0.7500
         70.00      211.51      0.6944      0.7535      100.67      0.7500
         71.00      211.49      0.6947      0.7541      100.64      0.7500
         72.00      211.47      0.6950      0.7546      100.60      0.7500
         73.00      211.45      0.6953      0.7552      100.57      0.7500
         74.00      211.44      0.6956      0.7557      100.55      0.7500
         75.00      211.42      0.6959      0.7562      100.52      0.7500
         76.00      211.41      0.6962      0.7566      100.50      0.7500
         77.00      211.39      0.6964      0.7571      100.47      0.7500
         78.00      211.38      0.6966      0.7575      100.45      0.7500
         79.00      211.37      0.6968      0.7578      100.43      0.7500
         80.00      211.36      0.6970      0.7581      100.41      0.7500
         81.00      211.35      0.6972      0.7584      100.40      0.7500
         82.00      211.34      0.6974      0.7587      100.38      0.7500
         83.00      211.33      0.6975      0.7590      100.37      0.7500
         84.00      211.33      0.6976      0.7592      100.36      0.7500
         85.00      211.32      0.6977      0.7593      100.35      0.7500
         86.00      211.32      0.6978      0.7595      100.34      0.7500
         87.00      211.31      0.6979      0.7596      100.34      0.7500
         88.00      211.31      0.6979      0.7596      100.33      0.7500
         89.00      211.31      0.6979      0.7597      100.33      0.7500
         90.00      211.31      0.6979      0.7597      100.33      0.7500
