# Name of benchmark/experiment: Benchmark 2
# Case number: 0 
# Instellation (S_earth): 1
# XCO2 (ppm): 280
# Obliquity (degrees): 23.5

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# Diff = annually averaged meridional diffusion coefficient (W m^-2 K^-1)


# Lat Tsurf Asurf ATOA OLR fice fclo Diff
-88.5 212.52 0.6269 0.6269 109.73 1.0000 0.0000 0.5000
-85.5 212.63 0.6304 0.6304 109.92 1.0000 0.0000 0.5000
-82.5 212.87 0.6324 0.6324 110.30 1.0000 0.0000 0.5000
-79.5 213.22 0.6334 0.6334 110.88 1.0000 0.0000 0.5000
-76.5 213.69 0.6337 0.6337 111.65 1.0000 0.0000 0.5000
-73.5 214.27 0.6371 0.6371 112.61 1.0000 0.0000 0.5000
-70.5 214.97 0.6356 0.6356 113.77 1.0000 0.0000 0.5000
-67.5 215.77 0.6365 0.6365 115.12 1.0000 0.0000 0.5000
-64.5 216.67 0.6362 0.6362 116.65 1.0000 0.0000 0.5000
-61.5 217.65 0.6300 0.6300 118.33 1.0000 0.0000 0.5000
-58.5 218.69 0.6251 0.6251 120.14 1.0000 0.0000 0.5000
-55.5 219.79 0.6211 0.6211 122.06 1.0000 0.0000 0.5000
-52.5 220.92 0.6178 0.6178 124.05 1.0000 0.0000 0.5000
-49.5 222.07 0.6148 0.6148 126.10 1.0000 0.0000 0.5000
-46.5 223.22 0.6122 0.6122 128.19 1.0000 0.0000 0.5000
-43.5 224.37 0.6100 0.6100 130.28 1.0000 0.0000 0.5000
-40.5 225.49 0.6080 0.6080 132.35 1.0000 0.0000 0.5000
-37.5 226.59 0.6062 0.6062 134.38 1.0000 0.0000 0.5000
-34.5 227.64 0.6046 0.6046 136.33 1.0000 0.0000 0.5000
-31.5 228.64 0.6032 0.6032 138.21 1.0000 0.0000 0.5000
-28.5 229.58 0.6018 0.6018 139.98 1.0000 0.0000 0.5000
-25.5 230.45 0.6006 0.6006 141.60 1.0000 0.0000 0.5000
-22.5 231.24 0.5993 0.5993 143.07 1.0000 0.0000 0.5000
-19.5 231.95 0.5982 0.5982 144.38 1.0000 0.0000 0.5000
-16.5 232.57 0.5973 0.5973 145.53 1.0000 0.0000 0.5000
-13.5 233.09 0.5966 0.5966 146.49 1.0000 0.0000 0.5000
-10.5 233.51 0.5960 0.5960 147.26 1.0000 0.0000 0.5000
-7.5 233.84 0.5956 0.5956 147.84 1.0000 0.0000 0.5000
-4.5 234.05 0.5953 0.5953 148.23 1.0000 0.0000 0.5000
-1.5 234.16 0.5951 0.5951 148.42 1.0000 0.0000 0.5000
1.5 234.16 0.5951 0.5951 148.42 1.0000 0.0000 0.5000
4.5 234.05 0.5953 0.5953 148.23 1.0000 0.0000 0.5000
7.5 233.83 0.5956 0.5956 147.84 1.0000 0.0000 0.5000
10.5 233.51 0.5960 0.5960 147.26 1.0000 0.0000 0.5000
13.5 233.09 0.5966 0.5966 146.49 1.0000 0.0000 0.5000
16.5 232.57 0.5973 0.5973 145.53 1.0000 0.0000 0.5000
19.5 231.95 0.5982 0.5982 144.38 1.0000 0.0000 0.5000
22.5 231.24 0.5993 0.5993 143.07 1.0000 0.0000 0.5000
25.5 230.45 0.6006 0.6006 141.60 1.0000 0.0000 0.5000
28.5 229.58 0.6018 0.6018 139.98 1.0000 0.0000 0.5000
31.5 228.64 0.6032 0.6032 138.21 1.0000 0.0000 0.5000
34.5 227.64 0.6046 0.6046 136.33 1.0000 0.0000 0.5000
37.5 226.59 0.6062 0.6062 134.38 1.0000 0.0000 0.5000
40.5 225.49 0.6080 0.6080 132.35 1.0000 0.0000 0.5000
43.5 224.37 0.6100 0.6100 130.28 1.0000 0.0000 0.5000
46.5 223.22 0.6122 0.6122 128.19 1.0000 0.0000 0.5000
49.5 222.07 0.6148 0.6148 126.10 1.0000 0.0000 0.5000
52.5 220.92 0.6178 0.6178 124.05 1.0000 0.0000 0.5000
55.5 219.79 0.6211 0.6211 122.06 1.0000 0.0000 0.5000
58.5 218.69 0.6251 0.6251 120.14 1.0000 0.0000 0.5000
61.5 217.65 0.6300 0.6300 118.33 1.0000 0.0000 0.5000
64.5 216.67 0.6362 0.6362 116.65 1.0000 0.0000 0.5000
67.5 215.77 0.6365 0.6365 115.12 1.0000 0.0000 0.5000
70.5 214.97 0.6356 0.6356 113.77 1.0000 0.0000 0.5000
73.5 214.27 0.6371 0.6371 112.61 1.0000 0.0000 0.5000
76.5 213.69 0.6337 0.6337 111.65 1.0000 0.0000 0.5000
79.5 213.22 0.6334 0.6334 110.88 1.0000 0.0000 0.5000
82.5 212.87 0.6324 0.6324 110.30 1.0000 0.0000 0.5000
85.5 212.63 0.6304 0.6304 109.92 1.0000 0.0000 0.5000
88.5 212.52 0.6269 0.6269 109.73 1.0000 0.0000 0.5000
