# Name of benchmark/experiment: Benchmark 1
# Case number: 0 
# Instellation (S_earth): 1
# XCO2 (ppm): 280
# Obliquity (degrees): 23.5

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# Diff = annually averaged meridional diffusion coefficient (W m^-2 K^-1)


# Lat Tsurf Asurf ATOA OLR fice fclo Diff
-88.5 262.32 0.6406 0.6638 193.87 0.9706 0.5776 0.7369
-85.5 262.61 0.6358 0.6630 194.33 0.9606 0.5773 0.7374
-82.5 263.18 0.6171 0.6530 195.24 0.9325 0.5765 0.7386
-79.5 264.02 0.5487 0.6136 196.41 0.8389 0.5823 0.7403
-76.5 265.10 0.4633 0.5643 197.75 0.6858 0.5948 0.7425
-73.5 266.39 0.3935 0.5262 199.21 0.5171 0.6122 0.7453
-70.5 267.84 0.3451 0.5009 200.67 0.3580 0.6359 0.7485
-67.5 269.44 0.3179 0.4900 201.95 0.2148 0.6698 0.7522
-64.5 271.15 0.2982 0.4793 203.54 0.1210 0.6967 0.7563
-61.5 272.92 0.2737 0.4600 205.71 0.0706 0.7100 0.7609
-58.5 274.75 0.2544 0.4411 208.42 0.0447 0.7137 0.7657
-55.5 276.61 0.2381 0.4232 211.45 0.0289 0.7148 0.7709
-52.5 278.49 0.2241 0.4062 214.69 0.0188 0.7152 0.7763
-49.5 280.37 0.2119 0.3902 218.08 0.0123 0.7153 0.7820
-46.5 282.24 0.2017 0.3750 221.57 0.0085 0.7138 0.7877
-43.5 284.07 0.1931 0.3610 225.03 0.0060 0.7125 0.7936
-40.5 285.85 0.1860 0.3480 228.44 0.0046 0.7103 0.7994
-37.5 287.57 0.1805 0.3359 231.77 0.0038 0.7066 0.8052
-34.5 289.21 0.1773 0.3248 235.08 0.0036 0.6995 0.8109
-31.5 290.75 0.1761 0.3150 238.27 0.0029 0.6899 0.8164
-28.5 292.20 0.1742 0.3063 241.09 0.0029 0.6836 0.8217
-25.5 293.54 0.1714 0.2985 243.53 0.0025 0.6813 0.8267
-22.5 294.75 0.1693 0.2917 245.73 0.0022 0.6784 0.8313
-19.5 295.83 0.1666 0.2857 247.53 0.0019 0.6785 0.8355
-16.5 296.77 0.1637 0.2805 249.02 0.0016 0.6800 0.8392
-13.5 297.56 0.1610 0.2761 250.21 0.0013 0.6822 0.8423
-10.5 298.20 0.1585 0.2726 251.11 0.0011 0.6848 0.8449
-7.5 298.67 0.1588 0.2702 251.96 0.0011 0.6818 0.8469
-4.5 298.98 0.1592 0.2687 252.55 0.0012 0.6792 0.8483
-1.5 299.13 0.1589 0.2678 252.79 0.0011 0.6792 0.8490
1.5 299.11 0.1563 0.2674 252.53 0.0010 0.6851 0.8491
4.5 298.92 0.1576 0.2683 252.32 0.0011 0.6829 0.8485
7.5 298.56 0.1598 0.2702 251.92 0.0012 0.6793 0.8473
10.5 298.05 0.1619 0.2728 251.23 0.0014 0.6765 0.8455
13.5 297.37 0.1628 0.2760 250.13 0.0015 0.6777 0.8430
16.5 296.53 0.1668 0.2805 248.98 0.0020 0.6724 0.8400
19.5 295.55 0.1710 0.2858 247.52 0.0025 0.6675 0.8364
22.5 294.43 0.1753 0.2918 245.77 0.0032 0.6635 0.8324
25.5 293.18 0.1817 0.2990 243.87 0.0044 0.6557 0.8279
28.5 291.81 0.1878 0.3069 241.65 0.0059 0.6495 0.8231
31.5 290.33 0.1927 0.3154 239.05 0.0076 0.6474 0.8179
34.5 288.76 0.1969 0.3247 236.15 0.0102 0.6481 0.8125
37.5 287.10 0.2032 0.3349 233.20 0.0137 0.6455 0.8069
40.5 285.36 0.2115 0.3459 230.23 0.0194 0.6392 0.8012
43.5 283.57 0.2210 0.3577 227.25 0.0279 0.6311 0.7954
46.5 281.74 0.2312 0.3702 224.22 0.0400 0.6231 0.7897
49.5 279.89 0.2407 0.3837 221.03 0.0548 0.6205 0.7840
52.5 278.04 0.2511 0.3984 217.86 0.0742 0.6197 0.7784
55.5 276.21 0.2622 0.4145 214.69 0.0976 0.6227 0.7731
58.5 274.42 0.2763 0.4322 211.72 0.1288 0.6250 0.7680
61.5 272.68 0.2996 0.4509 209.51 0.1902 0.6086 0.7631
64.5 271.04 0.3270 0.4731 207.25 0.2635 0.5980 0.7587
67.5 269.52 0.3440 0.4889 204.65 0.3254 0.6044 0.7546
70.5 268.16 0.3490 0.4992 201.92 0.3643 0.6243 0.7509
73.5 266.96 0.3422 0.5019 199.51 0.3938 0.6436 0.7477
76.5 265.94 0.3571 0.5132 197.95 0.4679 0.6413 0.7449
79.5 265.11 0.3665 0.5201 196.68 0.5330 0.6392 0.7427
82.5 264.48 0.3663 0.5206 195.71 0.5826 0.6375 0.7410
85.5 264.05 0.3841 0.5279 195.25 0.6488 0.6281 0.7399
88.5 263.83 0.3906 0.5284 195.02 0.6851 0.6230 0.7393
