# Name of benchmark/experiment: Experiment 1
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 289)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
0 0.8000 0.0 280 211.04 0.0 0.0 1.0000 0.0000 0.6147 23.41 0.5000
1 0.8000 5.0 280 211.03 0.0 0.0 1.0000 0.0000 0.6147 23.08 0.5000
2 0.8000 10.0 280 211.00 0.0 0.0 1.0000 0.0000 0.6150 22.14 0.5000
3 0.8000 15.0 280 210.95 0.0 0.0 1.0000 0.0000 0.6152 20.68 0.5000
4 0.8000 20.0 280 210.88 0.0 0.0 1.0000 0.0000 0.6156 18.79 0.5000
5 0.8000 25.0 280 210.82 0.0 0.0 1.0000 0.0000 0.6159 16.54 0.5000
6 0.8000 30.0 280 210.80 0.0 0.0 1.0000 0.0000 0.6160 13.96 0.5000
7 0.8000 35.0 280 210.80 0.0 0.0 1.0000 0.0000 0.6161 11.14 0.5000
8 0.8000 40.0 280 210.82 0.0 0.0 1.0000 0.0000 0.6164 8.18 0.5000
9 0.8000 45.0 280 210.87 0.0 0.0 1.0000 0.0000 0.6163 5.16 0.5000
10 0.8000 50.0 280 210.94 0.0 0.0 1.0000 0.0000 0.6162 2.15 0.5000
11 0.8000 55.0 280 211.03 0.0 -90.0 1.0000 0.0000 0.6161 0.77 0.5000
12 0.8000 60.0 280 211.15 90.0 0.0 1.0000 0.0000 0.6156 3.52 0.5000
13 0.8000 65.0 280 211.28 90.0 0.0 1.0000 0.0000 0.6156 6.03 0.5000
14 0.8000 70.0 280 211.43 90.0 0.0 1.0000 0.0000 0.6149 8.23 0.5000
15 0.8000 75.0 280 211.57 0.0 -90.0 1.0000 0.0000 0.6145 10.03 0.5000
16 0.8000 80.0 280 211.69 0.0 -90.0 1.0000 0.0000 0.6138 11.36 0.5000
17 0.8250 0.0 280 212.93 0.0 0.0 1.0000 0.0000 0.6144 23.99 0.5000
18 0.8250 5.0 280 212.92 0.0 0.0 1.0000 0.0000 0.6145 23.65 0.5000
19 0.8250 10.0 280 212.89 0.0 0.0 1.0000 0.0000 0.6147 22.70 0.5000
20 0.8250 15.0 280 212.84 0.0 0.0 1.0000 0.0000 0.6149 21.21 0.5000
21 0.8250 20.0 280 212.80 0.0 0.0 1.0000 0.0000 0.6152 19.27 0.5000
22 0.8250 25.0 280 212.77 0.0 0.0 1.0000 0.0000 0.6154 16.94 0.5000
23 0.8250 30.0 280 212.77 0.0 0.0 1.0000 0.0000 0.6154 14.27 0.5000
24 0.8250 35.0 280 212.79 0.0 0.0 1.0000 0.0000 0.6154 11.36 0.5000
25 0.8250 40.0 280 212.84 0.0 0.0 1.0000 0.0000 0.6156 8.30 0.5000
26 0.8250 45.0 280 212.91 0.0 0.0 1.0000 0.0000 0.6155 5.17 0.5000
27 0.8250 50.0 280 213.00 0.0 0.0 1.0000 0.0000 0.6153 2.04 0.5000
