# Name of benchmark/experiment: Experiment 3, cold start
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average
# Note that Tglob = 450. means the case is in runaway greenhouse: ESTM output is not reliable

# Columns of data
# Case = case number (total: 41)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
1 0.8000 23.5 280 210.84 0.0 0.0 1.0000 0.0000 0.6158 17.25 0.5000
2 0.8125 23.5 280 211.76 0.0 0.0 1.0000 0.0000 0.6156 17.46 0.5000
3 0.8250 23.5 280 212.78 0.0 0.0 1.0000 0.0000 0.6153 17.68 0.5000
4 0.8375 23.5 280 213.80 0.0 0.0 1.0000 0.0000 0.6150 17.92 0.5000
5 0.8500 23.5 280 214.75 0.0 0.0 1.0000 0.0000 0.6146 18.15 0.5000
6 0.8625 23.5 280 215.80 0.0 0.0 1.0000 0.0000 0.6141 18.41 0.5000
7 0.8750 23.5 280 216.78 0.0 0.0 1.0000 0.0000 0.6135 18.66 0.5000
8 0.8875 23.5 280 217.76 0.0 0.0 1.0000 0.0000 0.6130 18.92 0.5000
9 0.9000 23.5 280 218.83 0.0 0.0 1.0000 0.0000 0.6124 19.20 0.5000
10 0.9125 23.5 280 219.82 0.0 0.0 1.0000 0.0000 0.6118 19.47 0.5000
11 0.9250 23.5 280 220.90 0.0 0.0 1.0000 0.0000 0.6111 19.76 0.5000
12 0.9375 23.5 280 221.98 0.0 0.0 1.0000 0.0000 0.6104 20.05 0.5000
13 0.9500 23.5 280 222.99 0.0 0.0 1.0000 0.0000 0.6098 20.33 0.5000
14 0.9625 23.5 280 224.07 0.0 0.0 1.0000 0.0000 0.6090 20.63 0.5000
15 0.9750 23.5 280 225.08 0.0 0.0 1.0000 0.0000 0.6084 20.91 0.5000
16 0.9875 23.5 280 226.17 0.0 0.0 1.0000 0.0000 0.6076 21.22 0.5000
17 1.0000 23.5 280 227.18 0.0 0.0 1.0000 0.0000 0.6069 21.50 0.5000
18 1.0125 23.5 280 228.19 0.0 0.0 1.0000 0.0000 0.6061 21.78 0.5000
19 1.0250 23.5 280 229.30 0.0 0.0 1.0000 0.0000 0.6052 22.09 0.5000
20 1.0375 23.5 280 230.42 0.0 0.0 1.0000 0.0000 0.6042 22.40 0.5000
21 1.0500 23.5 280 231.47 0.0 0.0 1.0000 0.0000 0.6032 22.69 0.5000
22 1.0625 23.5 280 232.53 0.0 0.0 1.0000 0.0000 0.6021 22.99 0.5000
23 1.0750 23.5 280 233.70 0.0 0.0 1.0000 0.0000 0.6009 23.34 0.5000
24 1.0875 23.5 280 234.79 0.0 0.0 1.0000 0.0000 0.5997 23.66 0.5000
25 1.1000 23.5 280 235.98 0.0 0.0 1.0000 0.0000 0.5983 24.02 0.5000
26 1.1125 23.5 280 237.17 0.0 0.0 1.0000 0.0000 0.5969 24.38 0.5000
27 1.1250 23.5 280 238.28 0.0 0.0 1.0000 0.0000 0.5955 24.72 0.5000
28 1.1375 23.5 280 239.40 0.0 0.0 1.0000 0.0000 0.5942 25.06 0.5000
29 1.1500 23.5 280 240.62 0.0 0.0 1.0000 0.0000 0.5926 25.43 0.5000
30 1.1625 23.5 280 241.85 0.0 0.0 1.0000 0.0000 0.5911 25.81 0.5000
31 1.1750 23.5 280 242.99 0.0 0.0 1.0000 0.0000 0.5896 26.16 0.5000
32 1.1875 23.5 280 244.25 0.0 0.0 1.0000 0.0000 0.5879 26.54 0.5000
33 1.2000 23.5 280 245.43 0.0 0.0 1.0000 0.0000 0.5862 26.91 0.5000
34 1.2125 23.5 280 246.65 0.0 0.0 1.0000 0.0000 0.5845 27.28 0.5000
35 1.2250 23.5 280 247.99 0.0 0.0 1.0000 0.0000 0.5824 27.68 0.5000
36 1.2375 23.5 280 249.38 0.0 0.0 1.0000 0.0000 0.5802 28.11 0.5000
37 1.2500 23.5 280 250.72 0.0 0.0 0.9999 0.0000 0.5779 28.56 0.5000
38 1.2625 23.5 280 450.00 90.0 -90.0 0.0000 0.0000 0.1815 87.72 0.5000
39 1.2750 23.5 280 450.00 90.0 -90.0 0.0000 0.0000 0.1815 88.59 0.5000
40 1.2875 23.5 280 450.00 90.0 -90.0 0.0000 0.0000 0.1815 89.45 0.5000
41 1.3000 23.5 280 450.00 90.0 -90.0 0.0000 0.0000 0.1819 90.14 0.5000
