# Name of benchmark/experiment: Experiment 4, cold start
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average

# Columns of data
# Case = case number (total: 28)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
1 1.000 23.5 42 225.00 0.0 0.0 1.0000 0.0000 0.6110 20.98 0.5000
2 1.000 23.5 56 225.27 0.0 0.0 1.0000 0.0000 0.6104 21.04 0.5000
3 1.000 23.5 74 225.59 0.0 0.0 1.0000 0.0000 0.6099 21.12 0.5000
4 1.000 23.5 100 225.88 0.0 0.0 1.0000 0.0000 0.6093 21.19 0.5000
5 1.000 23.5 133 226.24 0.0 0.0 1.0000 0.0000 0.6087 21.27 0.5000
6 1.000 23.5 177 226.59 0.0 0.0 1.0000 0.0000 0.6080 21.36 0.5000
7 1.000 23.5 237 226.97 0.0 0.0 1.0000 0.0000 0.6073 21.45 0.5000
8 1.000 23.5 316 227.33 0.0 0.0 1.0000 0.0000 0.6065 21.54 0.5000
9 1.000 23.5 421 227.72 0.0 0.0 1.0000 0.0000 0.6056 21.63 0.5000
10 1.000 23.5 562 228.13 0.0 0.0 1.0000 0.0000 0.6048 21.73 0.5000
11 1.000 23.5 749 228.52 0.0 0.0 1.0000 0.0000 0.6039 21.83 0.5000
12 1.000 23.5 1000 228.95 0.0 0.0 1.0000 0.0000 0.6030 21.93 0.5000
13 1.000 23.5 1333 229.65 0.0 0.0 1.0000 0.0000 0.6013 22.09 0.5000
14 1.000 23.5 1778 230.37 0.0 0.0 1.0000 0.0000 0.5996 22.26 0.5000
15 1.000 23.5 2371 231.12 0.0 0.0 1.0000 0.0000 0.5979 22.44 0.5000
16 1.000 23.5 3162 231.90 0.0 0.0 1.0000 0.0000 0.5961 22.62 0.5000
17 1.000 23.5 4216 232.72 0.0 0.0 1.0000 0.0000 0.5943 22.81 0.5000
18 1.000 23.5 5623 233.57 0.0 0.0 1.0000 0.0000 0.5924 23.02 0.5000
19 1.000 23.5 7498 234.44 0.0 0.0 1.0000 0.0000 0.5904 23.24 0.5000
20 1.000 23.5 10000 235.37 0.0 0.0 1.0000 0.0000 0.5884 23.47 0.5000
21 1.000 23.5 13335 236.92 0.0 0.0 1.0000 0.0000 0.5855 23.87 0.5000
22 1.000 23.5 17782 238.62 0.0 0.0 1.0000 0.0000 0.5824 24.30 0.5000
23 1.000 23.5 23713 240.44 0.0 0.0 1.0000 0.0000 0.5791 24.76 0.5000
24 1.000 23.5 31622 242.38 0.0 0.0 1.0000 0.0000 0.5756 25.23 0.5000
25 1.000 23.5 42169 244.54 0.0 0.0 1.0000 0.0000 0.5719 25.74 0.5000
26 1.000 23.5 56234 246.90 0.0 0.0 1.0000 0.0000 0.5678 26.28 0.5000
27 1.000 23.5 74989 249.59 0.0 0.0 1.0000 0.0000 0.5631 26.88 0.5000
28 1.000 23.5 100000 329.29 90.0 -90.0 0.0001 0.0000 0.2120 47.63 0.5000
