# Name of benchmark/experiment: Experiment 4, warm start
# Describe how ice line latitude is determined: where temperature falls below freezing in annual average

# Columns of data
# Case = case number (total: 28)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineN = latitude of ice line in northern hemisphere (deg)
# IceLineS = latitude of ice line in southern hemisphere (deg)
# fice = annually averaged ice fraction
# fclo = annually averaged cloud fraction
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# dTep = average difference between the temperatures at Equator and North Pole (K)
# diff = average diffusion coefficient (W m^-2 K^-1)

# Case Inst Obl XCO2 Tglob IceLineN IceLineS fice fclo ATOA dTep diff
1 1.000 23.5 42 225.00 0.0 0.0 1.0000 0.0000 0.6110 20.98 0.5000
2 1.000 23.5 56 225.27 0.0 0.0 1.0000 0.0000 0.6104 21.04 0.5000
3 1.000 23.5 74 225.59 0.0 0.0 1.0000 0.0000 0.6099 21.12 0.5000
4 1.000 23.5 100 225.88 0.0 0.0 1.0000 0.0000 0.6093 21.19 0.5000
5 1.000 23.5 133 264.85 25.5 -25.5 0.4768 0.0000 0.3973 53.66 0.5000
6 1.000 23.5 177 270.70 31.5 -31.5 0.3795 0.0000 0.3640 54.07 0.5000
7 1.000 23.5 237 274.97 37.5 -37.5 0.3119 0.0000 0.3400 53.62 0.5000
8 1.000 23.5 316 277.72 40.5 -40.5 0.2723 0.0000 0.3261 53.21 0.5000
9 1.000 23.5 421 280.39 43.5 -43.5 0.2354 0.0000 0.3131 52.72 0.5000
10 1.000 23.5 562 282.96 46.5 -46.5 0.2008 0.0000 0.3009 52.09 0.5000
11 1.000 23.5 749 285.63 49.5 -49.5 0.1645 0.0000 0.2881 51.21 0.5000
12 1.000 23.5 1000 288.20 52.5 -52.5 0.1315 0.0000 0.2767 50.37 0.5000
13 1.000 23.5 1333 292.08 58.5 -58.5 0.0810 0.0000 0.2608 48.56 0.5000
14 1.000 23.5 1778 296.05 64.5 -64.5 0.0294 0.0000 0.2478 45.08 0.5000
15 1.000 23.5 2371 298.59 67.5 -67.5 0.0188 0.0000 0.2440 45.56 0.5000
16 1.000 23.5 3162 301.15 73.5 -73.5 0.0124 0.0000 0.2406 46.29 0.5000
17 1.000 23.5 4216 303.72 79.5 -79.5 0.0082 0.0000 0.2373 47.06 0.5000
18 1.000 23.5 5623 306.24 90.0 -90.0 0.0056 0.0000 0.2342 47.74 0.5000
19 1.000 23.5 7498 308.69 90.0 -90.0 0.0038 0.0000 0.2313 48.27 0.5000
20 1.000 23.5 10000 311.10 90.0 -90.0 0.0026 0.0000 0.2285 48.72 0.5000
21 1.000 23.5 13335 313.94 90.0 -90.0 0.0016 0.0000 0.2256 48.90 0.5000
22 1.000 23.5 17782 316.63 90.0 -90.0 0.0010 0.0000 0.2230 48.95 0.5000
23 1.000 23.5 23713 319.11 90.0 -90.0 0.0006 0.0000 0.2206 48.87 0.5000
24 1.000 23.5 31622 321.46 90.0 -90.0 0.0004 0.0000 0.2184 48.75 0.5000
25 1.000 23.5 42169 323.65 90.0 -90.0 0.0003 0.0000 0.2164 48.56 0.5000
26 1.000 23.5 56234 325.66 90.0 -90.0 0.0002 0.0000 0.2147 48.28 0.5000
27 1.000 23.5 74989 327.56 90.0 -90.0 0.0001 0.0000 0.2132 47.97 0.5000
28 1.000 23.5 100000 329.29 90.0 -90.0 0.0001 0.0000 0.2120 47.63 0.5000
