 # Name of benchmark/experiment: Experiment 4 
 # Describe how ice line latitude is determined: The surface ice coverage corresponds to latitude bands in which the annually-averaged surface temperature is < 263.15 K.
 # Columns of data
 # Case = case number (0 -> total number of cases in experiment)
 # SEFF = effective stellar flux divided by value at Earth (1361 W/m^2)
 # Obl = obliquity (degrees)
 # XCO2 = CO2 mixing ratio (volume in ppm)
 # Tglob = global, annual mean surface temperature (K)
 # IceLineS = latitude of ice line in southern hemisphere (deg)
 # IceLineN = latitude of ice line in northern hemisphere (deg)

 # Case SEFF Obl XCO2 Tglob IceLineN IceLineS
0 1.00848E+00  23.5   50.  282.996  59.1 -66.4
1 1.00848E+00  23.5  150.  285.450  66.4 -75.3
2 1.00848E+00  23.5  250.  286.698  72.0 -86.4
3 1.00848E+00  23.5  350.  287.468  76.7 -90.0
4 1.00848E+00  23.5  450.  288.042  82.2 -90.0
5 1.00848E+00  23.5  550.  288.465  90.0 -90.0
6 1.00848E+00  23.5  650.  288.817  90.0 -90.0
7 1.00848E+00  23.5  750.  289.203  90.0 -90.0
8 1.00848E+00  23.5  850.  289.537  90.0 -90.0
9 1.00848E+00  23.5  950.  289.827  90.0 -90.0
10 1.00848E+00  23.5 1050.  290.082  90.0 -90.0
11 1.00848E+00  23.5 1150.  290.311  90.0 -90.0
12 1.00848E+00  23.5 1250.  290.528  90.0 -90.0
13 1.00848E+00  23.5 1350.  290.738  90.0 -90.0
14 1.00848E+00  23.5 1450.  290.931  90.0 -90.0
15 1.00848E+00  23.5 1550.  291.110  90.0 -90.0
16 1.00848E+00  23.5 1650.  291.281  90.0 -90.0
17 1.00848E+00  23.5 1750.  291.441  90.0 -90.0
18 1.00848E+00  23.5 1850.  291.589  90.0 -90.0
19 1.00848E+00  23.5 1950.  291.730  90.0 -90.0
20 1.00848E+00  23.5 2050.  291.863  90.0 -90.0
21 1.00848E+00  23.5 2150.  291.989  90.0 -90.0
22 1.00848E+00  23.5 2250.  292.109  90.0 -90.0
23 1.00848E+00  23.5 2350.  292.223  90.0 -90.0
24 1.00848E+00  23.5 2450.  292.331  90.0 -90.0
25 1.00848E+00  23.5 2550.  292.433  90.0 -90.0
26 1.00848E+00  23.5 2650.  292.532  90.0 -90.0
27 1.00848E+00  23.5 2750.  292.626  90.0 -90.0
28 1.00848E+00  23.5 2850.  292.716  90.0 -90.0
29 1.00848E+00  23.5 2950.  292.803  90.0 -90.0
30 1.00848E+00  23.5 3050.  292.886  90.0 -90.0
31 1.00848E+00  23.5 3150.  292.964  90.0 -90.0
32 1.00848E+00  23.5 3250.  293.042  90.0 -90.0
33 1.00848E+00  23.5 3350.  293.114  90.0 -90.0
34 1.00848E+00  23.5 3450.  293.190  90.0 -90.0
35 1.00848E+00  23.5 3550.  293.262  90.0 -90.0
36 1.00848E+00  23.5 3650.  293.333  90.0 -90.0
37 1.00848E+00  23.5 3750.  293.399  90.0 -90.0
38 1.00848E+00  23.5 3850.  293.467  90.0 -90.0
39 1.00848E+00  23.5 3950.  293.530  90.0 -90.0
40 1.00848E+00  23.5 4050.  293.594  90.0 -90.0
41 1.00848E+00  23.5 4150.  293.653  90.0 -90.0
42 1.00848E+00  23.5 4250.  293.714  90.0 -90.0
43 1.00848E+00  23.5 4350.  293.770  90.0 -90.0
44 1.00848E+00  23.5 4450.  293.828  90.0 -90.0
45 1.00848E+00  23.5 4550.  293.880  90.0 -90.0
46 1.00848E+00  23.5 4650.  293.937  90.0 -90.0
47 1.00848E+00  23.5 4750.  293.988  90.0 -90.0
48 1.00848E+00  23.5 4850.  294.041  90.0 -90.0
49 1.00848E+00  23.5 4950.  294.095  90.0 -90.0
50 1.00848E+00  23.5 5050.  294.144  90.0 -90.0
