# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.380372 257.888385 0.600000 0.600000 171.403225
-78.521659 259.018551 0.600000 0.600000 173.765272
-75.164888 260.152530 0.600000 0.600000 176.135288
-72.427054 261.297230 0.600000 0.600000 178.527711
-70.051556 262.449833 0.600000 0.600000 180.936651
-67.921031 263.711155 0.589256 0.591305 183.572814
-65.970136 264.918845 0.586570 0.588929 186.096886
-64.158067 266.129595 0.583884 0.586490 188.627354
-62.457325 267.343303 0.545471 0.553978 191.164003
-60.848336 268.555025 0.495937 0.511318 193.696502
-59.316583 269.748650 0.457524 0.476527 196.191179
-57.850948 270.919285 0.414061 0.437289 198.637806
-56.442690 272.062242 0.354749 0.383048 201.026586
-55.084794 273.158120 0.352063 0.378920 203.316971
-53.771523 274.219416 0.350720 0.375802 205.535079
-52.498117 275.240803 0.349377 0.373076 207.669778
-51.260575 276.231105 0.348034 0.369973 209.739509
-50.055495 277.192897 0.346691 0.367286 211.749655
-48.879952 278.123847 0.345348 0.364208 213.695340
-47.731416 279.032259 0.345348 0.362591 215.593921
-46.607672 279.911299 0.342662 0.358512 217.431115
-45.506776 280.770164 0.341319 0.355485 219.226143
-44.427004 281.603216 0.339976 0.352891 220.967221
-43.366822 282.414017 0.338633 0.349901 222.661796
-42.324857 283.207526 0.337290 0.347350 224.320229
-41.299873 283.976599 0.335947 0.344401 225.927592
-40.290752 284.727000 0.333261 0.340426 227.495930
-39.296480 285.460325 0.333261 0.338986 229.028579
-38.316134 286.171814 0.330575 0.335048 230.515591
-37.348870 286.865537 0.329232 0.332198 231.965472
-36.393910 287.544331 0.327889 0.329756 233.384152
-35.450543 288.202446 0.326546 0.326956 234.759612
-34.518108 288.843373 0.323860 0.323105 236.099150
-33.595995 289.467321 0.321174 0.319275 237.403201
-32.683639 290.074561 0.319831 0.316571 238.672332
-31.780510 290.665365 0.317145 0.312796 239.907113
-30.886118 291.239117 0.313116 0.307678 241.106255
-30.000000 291.795144 0.310430 0.303954 242.268351
-29.121726 292.332120 0.297000 0.290417 243.390631
-28.250889 292.855533 0.297000 0.289124 244.484564
-27.387108 293.361581 0.297000 0.287867 245.542204
-26.530021 293.850579 0.297000 0.286646 246.564210
-25.679289 294.322822 0.297000 0.285461 247.551198
-24.834587 294.778579 0.297000 0.284312 248.503730
-23.995611 295.218104 0.297000 0.283199 249.422337
-23.162069 295.641630 0.297000 0.282122 250.307507
-22.333683 296.049376 0.297000 0.281080 251.159696
-21.510188 296.441545 0.297000 0.280075 251.979329
-20.691333 296.818326 0.297000 0.279105 252.766801
-19.876874 297.179894 0.297000 0.278172 253.522478
-19.066580 297.526415 0.297000 0.277274 254.246707
-18.260228 297.858042 0.297000 0.276412 254.939808
-17.457603 298.174917 0.297000 0.275586 255.602077
-16.658499 298.477174 0.297000 0.274796 256.233794
-15.862716 298.764935 0.297000 0.274042 256.835214
-15.070062 299.038318 0.297000 0.273324 257.406585
-14.280350 299.297428 0.297000 0.272642 257.948125
-13.493399 299.542366 0.297000 0.271996 258.460045
-12.709033 299.773224 0.297000 0.271385 258.942538
-11.927082 299.990088 0.297000 0.270811 259.395784
-11.147378 300.193036 0.297000 0.270272 259.819945
-10.369760 300.382142 0.297000 0.269770 260.215177
-9.594068 300.557472 0.297000 0.269303 260.581616
-8.820148 300.719088 0.297000 0.268872 260.919394
-8.047846 300.867045 0.297000 0.268477 261.228624
-7.277014 301.001394 0.297000 0.268118 261.509413
-6.507504 301.122180 0.297000 0.267795 261.761856
-5.739170 301.229443 0.297000 0.267508 261.986036
-4.971872 301.323219 0.297000 0.267257 262.182028
-4.205466 301.403539 0.297000 0.267041 262.349897
-3.439813 301.470429 0.297000 0.266862 262.489697
-2.674774 301.523910 0.297000 0.266718 262.601472
-1.910213 301.564001 0.297000 0.266611 262.685262
-1.145992 301.590714 0.297000 0.266539 262.741092
-0.381975 301.604057 0.297000 0.266503 262.768979
0.381975 301.604036 0.297000 0.266503 262.768935
1.145992 301.590649 0.297000 0.266539 262.740956
1.910213 301.563893 0.297000 0.266611 262.685036
2.674774 301.523759 0.297000 0.266719 262.601156
3.439813 301.470233 0.297000 0.266863 262.489287
4.205466 301.403300 0.297000 0.267043 262.349397
4.971872 301.322937 0.297000 0.267258 262.181438
5.739170 301.229117 0.297000 0.267510 261.985355
6.507504 301.121810 0.297000 0.267797 261.761083
7.277014 301.000981 0.297000 0.268120 261.508550
8.047846 300.866588 0.297000 0.268480 261.227669
