# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.380372 335.412778 0.242500 0.261571 334.179206
-78.521659 334.886247 0.243750 0.262490 333.078756
-75.164888 334.347535 0.243750 0.262193 331.952848
-72.427054 333.797742 0.242500 0.260963 330.803781
-70.051556 333.242456 0.242500 0.260744 329.643233
-67.921031 332.687362 0.242500 0.260551 328.483087
-65.970136 332.132219 0.243750 0.261627 327.322838
-64.158067 331.577352 0.243750 0.261455 326.163166
-62.457325 331.021442 0.242500 0.260279 325.001314
-60.848336 330.465586 0.242500 0.260123 323.839575
-59.316583 329.912379 0.242500 0.259977 322.683372
-57.850948 329.364676 0.242500 0.259841 321.538673
-56.442690 328.820373 0.242500 0.259715 320.401080
-55.084794 328.279321 0.241250 0.258567 319.270281
-53.771523 327.739744 0.241250 0.258446 318.142565
-52.498117 327.204428 0.241250 0.258333 317.023755
-51.260575 326.675700 0.242500 0.259360 315.918713
-50.055495 326.152924 0.242500 0.259249 314.826111
-48.879952 325.635503 0.242500 0.259144 313.744701
-47.731416 325.123632 0.241250 0.258005 312.674891
-46.607672 324.614538 0.241250 0.257903 311.610884
-45.506776 324.111208 0.241250 0.257807 310.558925
-44.427004 323.615603 0.241250 0.257716 309.523110
-43.366822 323.127532 0.241250 0.257630 308.503042
-42.324857 322.646066 0.241250 0.257549 307.496778
-41.299873 322.169704 0.240000 0.256428 306.501181
-40.290752 321.698785 0.240000 0.256348 305.516961
-39.296480 321.235476 0.240000 0.256273 304.548645
-38.316134 320.781422 0.240000 0.256202 303.599672
-37.348870 320.334722 0.240000 0.256135 302.666069
-36.393910 319.894257 0.238750 0.255034 301.745497
-35.450543 319.459557 0.238750 0.254968 300.836974
-34.518108 319.033370 0.238750 0.254906 299.946243
-33.595995 318.617052 0.237500 0.253851 299.076139
-32.683639 318.208759 0.237500 0.253802 298.222806
-31.780510 317.804705 0.236250 0.252727 297.378333
-30.886118 317.410685 0.236250 0.252678 296.554832
-30.000000 317.026907 0.236250 0.252633 295.752736
-29.121726 316.651660 0.236250 0.252590 294.968469
-28.250889 316.283321 0.235000 0.251537 294.198641
-27.387108 315.921590 0.235000 0.251494 293.442623
-26.530021 315.572281 0.235000 0.251455 292.712567
-25.679289 315.231804 0.233750 0.250425 292.000970
-24.834587 314.895786 0.232500 0.249442 291.298693
-23.995611 314.573490 0.232500 0.249409 290.625094
-23.162069 314.259079 0.231250 0.248404 289.967975
-22.333683 313.953213 0.231250 0.248371 289.328715
-21.510188 313.658358 0.230000 0.247386 288.712468
-20.691333 313.370011 0.227500 0.245501 288.109823
-19.876874 313.092226 0.225000 0.243631 287.529252
-19.066580 312.825749 0.225000 0.243600 286.972315
-18.260228 312.569126 0.225000 0.243569 286.435973
-17.457603 312.322462 0.225000 0.243540 285.920446
-16.658499 312.085863 0.225000 0.243512 285.425954
-15.862716 311.859437 0.225000 0.243486 284.952723
-15.070062 311.643301 0.225000 0.243460 284.500999
-14.280350 311.437559 0.225000 0.243436 284.070998
-13.493399 311.242302 0.225000 0.243413 283.662911
-12.709033 311.057616 0.225000 0.243392 283.276917
-11.927082 310.883586 0.225000 0.243371 282.913195
-11.147378 310.720299 0.225000 0.243352 282.571925
-10.369760 310.567826 0.225000 0.243335 282.253256
-9.594068 310.426220 0.225000 0.243318 281.957300
-8.820148 310.295517 0.225000 0.243303 281.684131
-8.047846 310.175733 0.225000 0.243289 281.433782
-7.277014 310.066872 0.225000 0.243276 281.206262
-6.507504 309.968933 0.225000 0.243265 281.001570
-5.739170 309.881912 0.225000 0.243255 280.819696
-4.971872 309.805799 0.225000 0.243246 280.660620
-4.205466 309.740587 0.225000 0.243238 280.524327
-3.439813 309.686266 0.225000 0.243232 280.410796
-2.674774 309.642828 0.225000 0.243227 280.320011
-1.910213 309.610265 0.225000 0.243223 280.251954
-1.145992 309.588572 0.225000 0.243220 280.206615
-0.381975 309.577745 0.225000 0.243219 280.183987
0.381975 309.577780 0.225000 0.243219 280.184060
1.145992 309.588679 0.225000 0.243220 280.206839
1.910213 309.610442 0.225000 0.243223 280.252324
2.674774 309.643075 0.225000 0.243226 280.320527
3.439813 309.686583 0.225000 0.243231 280.411458
4.205466 309.740972 0.225000 0.243238 280.525131
4.971872 309.806251 0.225000 0.243245 280.661565
5.739170 309.882429 0.225000 0.243254 280.820777
6.507504 309.969514 0.225000 0.243264 281.002784
7.277014 310.067514 0.225000 0.243276 281.207604
8.047846 310.176434 0.225000 0.243288 281.435247
8.820148 310.296275 0.225000 0.243302 281.685715
9.594068 310.427032 0.225000 0.243317 281.958997
10.369760 310.568688 0.225000 0.243334 282.255058
11.147378 310.721206 0.225000 0.243351 282.573821
11.927082 310.884534 0.225000 0.243370 282.915176
12.709033 311.058600 0.225000 0.243391 283.278974
13.493399 311.243316 0.225000 0.243412 283.665030
14.280350 311.438597 0.225000 0.243435 284.073168
15.070062 311.644356 0.225000 0.243459 284.503204
15.862716 311.860501 0.225000 0.243484 284.954947
16.658499 312.086925 0.225000 0.243511 285.428173
17.457603 312.323515 0.225000 0.243539 285.922646
18.260228 312.570159 0.225000 0.243568 286.438132
19.066580 312.826750 0.225000 0.243598 286.974407
19.876874 313.093183 0.225000 0.243630 287.531252
20.691333 313.370681 0.227500 0.245500 288.111223
21.510188 313.657242 0.228750 0.246464 288.710136
22.333683 313.953565 0.231250 0.248368 289.329451
23.162069 314.259731 0.231250 0.248400 289.969338
23.995611 314.573981 0.232500 0.249402 290.626120
24.834587 314.896161 0.232500 0.249435 291.299476
25.679289 315.232050 0.235000 0.251407 292.001484
26.530021 315.572290 0.235000 0.251444 292.712586
27.387108 315.921498 0.235000 0.251483 293.442431
28.250889 316.283544 0.235000 0.251525 294.199107
29.121726 316.651008 0.236250 0.252575 294.967107
30.000000 317.026091 0.236250 0.252618 295.751030
30.886118 317.409674 0.236250 0.252663 296.552719
31.780510 317.804497 0.236250 0.252712 297.377899
32.683639 318.207181 0.237500 0.253784 298.219508
33.595995 318.615170 0.237500 0.253833 299.072205
34.518108 319.031395 0.238750 0.254888 299.942116
35.450543 319.458097 0.238750 0.254950 300.833923
36.393910 319.892384 0.240000 0.256051 301.741583
37.348870 320.331206 0.240000 0.256114 302.658721
38.316134 320.777528 0.240000 0.256180 303.591534
39.296480 321.231663 0.240000 0.256252 304.540676
40.290752 321.695254 0.240000 0.256327 305.509581
41.299873 322.165632 0.240000 0.256407 306.492671
42.324857 322.640315 0.241250 0.257533 307.484758
43.366822 323.121218 0.241250 0.257614 308.489846
44.427004 323.608689 0.241250 0.257700 309.508660
45.506776 324.104543 0.241250 0.257791 310.544995
46.607672 324.607135 0.241250 0.257888 311.595412
47.731416 325.114973 0.242500 0.259034 312.656794
48.879952 325.626205 0.242500 0.259133 313.725268
50.055495 326.143063 0.242500 0.259238 314.805502
51.260575 326.665260 0.242500 0.259350 315.896893
52.498117 327.193453 0.241250 0.258323 317.000817
53.771523 327.728134 0.241250 0.258437 318.118300
