# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.380372 289.863549 0.268750 0.305245 238.981317
-78.521659 289.990333 0.268750 0.303464 239.246296
-75.164888 290.106389 0.268750 0.301934 239.488853
-72.427054 290.215573 0.268750 0.300522 239.717048
-70.051556 290.319896 0.268750 0.299187 239.935083
-67.921031 290.421523 0.267500 0.296993 240.147483
-65.970136 290.522160 0.267500 0.295763 240.357814
-64.158067 290.621393 0.267500 0.294575 240.565211
-62.457325 290.719821 0.267500 0.293423 240.770926
-60.848336 290.818002 0.267500 0.292305 240.976124
-59.316583 290.916344 0.267500 0.291219 241.181659
-57.850948 291.014002 0.265000 0.287891 241.385764
-56.442690 291.108309 0.265000 0.286849 241.582866
-55.084794 291.202540 0.265000 0.285833 241.779809
-53.771523 291.300445 0.265000 0.284843 241.984430
-52.498117 291.400432 0.265000 0.283878 242.193403
-51.260575 291.501704 0.263750 0.281998 242.405061
-50.055495 291.604478 0.263750 0.281076 242.619859
-48.879952 291.704136 0.262500 0.278811 242.828144
-47.731416 291.804418 0.262500 0.277928 243.037734
-46.607672 291.910917 0.262500 0.277068 243.260317
-45.506776 292.019001 0.262500 0.276230 243.486212
-44.427004 292.128792 0.261250 0.274463 243.715675
-43.366822 292.235021 0.260000 0.272288 243.937694
-42.324857 292.343559 0.260000 0.271503 244.164538
-41.299873 292.457385 0.260000 0.270739 244.402435
-40.290752 292.572668 0.260000 0.269996 244.643376
-39.296480 292.687494 0.258750 0.267900 244.883362
-38.316134 292.798609 0.257500 0.266231 245.115593
-37.348870 292.916672 0.257500 0.265539 245.362344
-36.393910 293.035423 0.257500 0.264866 245.610534
-35.450543 293.151237 0.256250 0.262841 245.852585
-34.518108 293.265648 0.256250 0.262203 246.091704
-33.595995 293.384568 0.255000 0.260619 246.340247
-32.683639 293.502777 0.253750 0.258650 246.587304
-31.780510 293.614283 0.253750 0.258060 246.820351
-30.886118 293.731455 0.253750 0.257489 247.065241
-30.000000 293.847862 0.253750 0.256937 247.308532
-29.121726 293.956947 0.251250 0.254076 247.536519
-28.250889 294.071058 0.251250 0.253552 247.775011
-27.387108 294.183903 0.251250 0.253047 248.010857
-26.530021 294.288797 0.250000 0.251215 248.230086
