# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.402352 225.761048 0.600000 0.600000 105.007090
-78.559857 226.262963 0.600000 0.600000 106.056093
-75.214368 226.762227 0.600000 0.600000 107.099554
-72.485798 227.258414 0.600000 0.600000 108.136585
-70.118394 227.751107 0.600000 0.600000 109.166314
-67.995177 228.239793 0.600000 0.600000 110.187667
-66.051021 228.723848 0.600000 0.600000 111.199342
-64.245254 229.202383 0.600000 0.600000 112.199480
-62.550469 229.674302 0.600000 0.600000 113.185791
-60.947155 230.138759 0.600000 0.600000 114.156506
-59.420843 230.595168 0.600000 0.600000 115.110401
-57.960452 231.043137 0.600000 0.600000 116.046656
-56.557269 231.482418 0.600000 0.600000 116.964754
-55.204301 231.912866 0.600000 0.600000 117.864390
-53.895832 232.334412 0.600000 0.600000 118.745421
-52.627117 232.747040 0.600000 0.600000 119.607814
-51.394167 233.150771 0.600000 0.600000 120.451611
-50.193591 233.545655 0.600000 0.600000 121.276919
-49.022477 233.931761 0.600000 0.600000 122.083880
-47.878298 234.309172 0.600000 0.600000 122.872669
-46.758852 234.677980 0.600000 0.600000 123.643478
-45.662198 235.038283 0.600000 0.600000 124.396511
-44.586620 235.390183 0.600000 0.600000 125.131982
-43.530588 235.733783 0.600000 0.600000 125.850106
-42.492733 236.069188 0.600000 0.600000 126.551103
-41.471824 236.396502 0.600000 0.600000 127.235189
-40.466747 236.715827 0.600000 0.600000 127.902578
-39.476493 237.027264 0.600000 0.600000 128.553482
-38.500141 237.330911 0.600000 0.600000 129.188104
-37.536848 237.626866 0.600000 0.600000 129.806650
-36.585843 237.915222 0.600000 0.600000 130.409314
-35.646414 238.196070 0.600000 0.600000 130.996286
-34.717906 238.469497 0.600000 0.600000 131.567749
-33.799709 238.735590 0.600000 0.600000 132.123883
-32.891259 238.994430 0.600000 0.600000 132.664859
-31.992032 239.246096 0.600000 0.600000 133.190841
-31.101537 239.490665 0.600000 0.600000 133.701990
-30.219314 239.728211 0.600000 0.600000 134.198461
-29.344934 239.958805 0.600000 0.600000 134.680402
-28.477994 240.182515 0.600000 0.600000 135.147956
-27.618112 240.399406 0.600000 0.600000 135.601259
-26.764931 240.609541 0.600000 0.600000 136.040441
-25.918110 240.812980 0.600000 0.600000 136.465628
-25.077328 241.009782 0.600000 0.600000 136.876944
-24.242282 241.200001 0.600000 0.600000 137.274502
-23.412680 241.383691 0.600000 0.600000 137.658414
-22.588248 241.560903 0.600000 0.600000 138.028787
-21.768723 241.731685 0.600000 0.600000 138.385722
-20.953852 241.896084 0.600000 0.600000 138.729316
-20.143396 242.054144 0.600000 0.600000 139.059661
-19.337123 242.205906 0.600000 0.600000 139.376844
-18.534813 242.351412 0.600000 0.600000 139.680951
-17.736252 242.490700 0.600000 0.600000 139.972063
-16.941235 242.623805 0.600000 0.600000 140.250252
-16.149565 242.750763 0.600000 0.600000 140.515595
-15.361050 242.871606 0.600000 0.600000 140.768157
-14.575505 242.986365 0.600000 0.600000 141.008003
-13.792751 243.095070 0.600000 0.600000 141.235196
-13.012614 243.197747 0.600000 0.600000 141.449791
-12.234924 243.294422 0.600000 0.600000 141.651842
-11.459516 243.385120 0.600000 0.600000 141.841401
-10.686230 243.469864 0.600000 0.600000 142.018516
-9.914909 243.548673 0.600000 0.600000 142.183227
-9.145398 243.621568 0.600000 0.600000 142.335577
-8.377548 243.688567 0.600000 0.600000 142.475605
-7.611211 243.749685 0.600000 0.600000 142.603342
-6.846240 243.804939 0.600000 0.600000 142.718823
-6.082494 243.854340 0.600000 0.600000 142.822071
-5.319832 243.897902 0.600000 0.600000 142.913115
-4.558113 243.935634 0.600000 0.600000 142.991975
-3.797202 243.967546 0.600000 0.600000 143.058671
-3.036960 243.993645 0.600000 0.600000 143.113218
-2.277253 244.013938 0.600000 0.600000 143.155630
-1.517947 244.028429 0.600000 0.600000 143.185917
-0.758907 244.037123 0.600000 0.600000 143.204087
0.000000 244.040020 0.600000 0.600000 143.210142
0.758907 244.037123 0.600000 0.600000 143.204087
1.517947 244.028429 0.600000 0.600000 143.185917
2.277253 244.013938 0.600000 0.600000 143.155630
3.036960 243.993645 0.600000 0.600000 143.113218
