# Use this header for notes and global details
# Name of benchmark/experiment:
# Case number:
# Instellation (S_earth):
# XCO2 (ppm):
# Obliquity (degrees):

# Columns of data (annually averaged for last orbit)
# Lat = latitude (degrees)
# Tsurf = annually averaged surface temperature (K)
# Asurf = annually averaged surface albedo
# ATOA = annually averaged top-of-atmosphere/total/planetary albedo
# OLR = annually averaged outgoing longwave radiation (W m^-2)

# Lat Tsurf Asurf ATOA OLR
-83.402352 296.401230 0.237656 0.298032 234.633484
-78.559857 297.768229 0.236719 0.283256 236.773657
-75.214368 299.120936 0.234844 0.272409 238.865920
-72.485798 300.463168 0.232969 0.263438 240.916702
-70.118394 301.793874 0.230625 0.255287 242.925739
-67.995177 303.112425 0.225000 0.245961 244.893283
-66.051021 304.421362 0.225000 0.240596 246.822891
-64.245254 305.716398 0.225000 0.235705 248.710856
-62.550469 306.995465 0.225000 0.231228 250.553633
-60.947155 308.256926 0.225000 0.227089 252.348450
-59.420843 309.499587 0.225000 0.223305 254.093554
-57.960452 310.722612 0.225000 0.219689 255.787824
-56.557269 311.925422 0.225000 0.216293 257.430844
-55.204301 313.107629 0.225000 0.213094 259.022449
-53.895832 314.268985 0.225000 0.210074 260.562912
-52.627117 315.409346 0.225000 0.207218 262.052529
-51.394167 316.528641 0.225000 0.204512 263.491867
-50.193591 317.626855 0.225000 0.201946 264.881519
-49.022477 318.704014 0.225000 0.199510 266.222234
-47.878298 319.760173 0.225000 0.197194 267.514764
-46.758852 320.795409 0.225000 0.194991 268.759930
-45.662198 321.809815 0.225000 0.192893 269.958561
-44.586620 322.803491 0.225000 0.190895 271.111531
-43.530588 323.776550 0.225000 0.188990 272.219702
-42.492733 324.729104 0.225000 0.187174 273.283960
-41.471824 325.661271 0.225000 0.185441 274.305219
-40.466747 326.573169 0.225000 0.183788 275.284411
-39.476493 327.464915 0.225000 0.182210 276.222433
-38.500141 328.336625 0.225000 0.180703 277.120137
-37.536848 329.188414 0.225000 0.179265 277.978441
-36.585843 330.020394 0.225000 0.177891 278.798268
-35.646414 330.832674 0.225000 0.176578 279.580499
-34.717906 331.625361 0.225000 0.175325 280.326014
-33.799709 332.398558 0.225000 0.174128 281.035698
-32.891259 333.152366 0.225000 0.172985 281.710382
-31.992032 333.886880 0.225000 0.171893 282.351014
-31.101537 334.602193 0.225000 0.170851 282.958366
-30.219314 335.298396 0.225000 0.169855 283.533332
-29.344934 335.975575 0.225000 0.168905 284.076681
-28.477994 336.633813 0.225000 0.167999 284.589306
-27.618112 337.273189 0.225000 0.167134 285.071970
-26.764931 337.893780 0.225000 0.166309 285.525441
-25.918110 338.495660 0.225000 0.165523 285.950607
-25.077328 339.078898 0.225000 0.164774 286.348226
-24.242282 339.643562 0.225000 0.164060 286.718922
-23.412680 340.189715 0.225000 0.163381 287.063644
-22.588248 340.717420 0.225000 0.162734 287.382939
-21.768723 341.226734 0.225000 0.162120 287.677685
-20.953852 341.717714 0.225000 0.161536 287.948487
-20.143396 342.190412 0.225000 0.160982 288.196145
-19.337123 342.644880 0.225000 0.160457 288.421254
-18.534813 343.081165 0.225000 0.159959 288.624464
-17.736252 343.499312 0.225000 0.159488 288.806497
-16.941235 343.899367 0.225000 0.159043 288.967927
-16.149565 344.281368 0.225000 0.158624 289.109458
-15.361050 344.645355 0.225000 0.158228 289.231580
-14.575505 344.991366 0.225000 0.157856 289.335060
-13.792751 345.319433 0.225000 0.157507 289.420226
-13.012614 345.629589 0.225000 0.157181 289.487832
-12.234924 345.921866 0.225000 0.156876 289.538408
-11.459516 346.196291 0.225000 0.156592 289.572330
-10.686230 346.452890 0.225000 0.156329 289.590257
-9.914909 346.691689 0.225000 0.156086 289.592622
-9.145398 346.912709 0.225000 0.155863 289.579846
-8.377548 347.115973 0.225000 0.155660 289.552494
-7.611211 347.301498 0.225000 0.155475 289.510893
-6.846240 347.469303 0.225000 0.155308 289.455514
-6.082494 347.619402 0.225000 0.155161 289.386743
-5.319832 347.751811 0.225000 0.155031 289.304955
-4.558113 347.866540 0.225000 0.154919 289.210517
-3.797202 347.963601 0.225000 0.154824 289.103783
-3.036960 348.043002 0.225000 0.154747 288.985025
-2.277253 348.104751 0.225000 0.154687 288.854576
-1.517947 348.148853 0.225000 0.154645 288.712685
-0.758907 348.175313 0.225000 0.154619 288.559740
0.000000 348.184132 0.225000 0.154611 288.395817
0.758907 348.175312 0.225000 0.154619 288.221205
1.517947 348.148852 0.225000 0.154645 288.036032
2.277253 348.104749 0.225000 0.154687 287.840639
3.036960 348.043000 0.225000 0.154747 287.635056
3.797202 347.963598 0.225000 0.154824 287.419447
4.558113 347.866537 0.225000 0.154919 287.193893
5.319832 347.751807 0.225000 0.155031 286.958533
6.082494 347.619398 0.225000 0.155161 286.713423
6.846240 347.469298 0.225000 0.155309 286.458602
7.611211 347.301493 0.225000 0.155475 286.194098
8.377548 347.115967 0.225000 0.155660 285.919924
9.145398 346.912704 0.225000 0.155864 285.636081
9.914909 346.691683 0.225000 0.156087 285.342406
10.686230 346.452884 0.225000 0.156330 285.038947
11.459516 346.196284 0.225000 0.156593 284.725660
12.234924 345.921859 0.225000 0.156877 284.402269
13.012614 345.629583 0.225000 0.157181 284.068778
13.792751 345.319426 0.225000 0.157508 283.724954
14.575505 344.991358 0.225000 0.157857 283.370622
15.361050 344.645348 0.225000 0.158229 283.005598
16.149565 344.281361 0.225000 0.158624 282.629605
16.941235 343.899360 0.225000 0.159044 282.242423
17.736252 343.499306 0.225000 0.159489 281.843819
18.534813 343.081158 0.225000 0.159960 281.433399
19.337123 342.644873 0.225000 0.160458 281.010899
20.143396 342.190406 0.225000 0.160983 280.575897
20.953852 341.717708 0.225000 0.161537 280.128025
21.768723 341.226729 0.225000 0.162121 279.666968
22.588248 340.717415 0.225000 0.162736 279.192187
23.412680 340.189711 0.225000 0.163382 278.703333
24.242282 339.643559 0.225000 0.164061 278.199771
25.077328 339.078896 0.225000 0.164775 277.681183
25.918110 338.495659 0.225000 0.165524 277.146837
26.764931 337.893780 0.225000 0.166311 276.596313
27.618112 337.273190 0.225000 0.167136 276.029043
28.477994 336.633815 0.225000 0.168000 275.444312
29.344934 335.975579 0.225000 0.168907 274.841520
30.219314 335.298401 0.225000 0.169857 274.220045
31.101537 334.602200 0.225000 0.170852 273.579128
31.992032 333.886888 0.225000 0.171895 272.918114
32.891259 333.152376 0.225000 0.172987 272.236206
33.799709 332.398570 0.225000 0.174130 271.532717
34.717906 331.625375 0.225000 0.175327 270.806760
35.646414 330.832690 0.225000 0.176580 270.057550
36.585843 330.020412 0.225000 0.177893 269.284231
37.536848 329.188434 0.225000 0.179267 268.485926
38.500141 328.336648 0.225000 0.180705 267.661693
39.476493 327.464940 0.225000 0.182212 266.810681
40.466747 326.573197 0.225000 0.183790 265.931919
41.471824 325.661302 0.225000 0.185444 265.024368
42.492733 324.729138 0.225000 0.187176 264.087087
43.530588 323.776587 0.225000 0.188993 263.118969
44.586620 322.803532 0.225000 0.190897 262.119055
45.662198 321.809859 0.225000 0.192896 261.086230
46.758852 320.795457 0.225000 0.194993 260.019430
47.878298 319.760225 0.225000 0.197197 258.917600
49.022477 318.704069 0.225000 0.199513 257.779506
