trial sun/dLuminosity 
00 306202614999999986083561472.000000
01 315771446749999970125873152.000000
02 325340278499999954168184832.000000
03 334909110250000006929973248.000000
04 344477941999999990972284928.000000
05 354046773749999975014596608.000000
06 363615605500000027776385024.000000
07 373184437250000011818696704.000000
08 382753268999999995861008384.000000
09 392322100749999979903320064.000000
10 401890932499999963945631744.000000
11 411459764250000016707420160.000000
12 421028596000000000749731840.000000
13 430597427749999984792043520.000000
14 440166259500000037553831936.000000
15 449735091250000021596143616.000000
16 459303923000000005638455296.000000
17 468872754749999989680766976.000000
18 478441586499999973723078656.000000
19 488010418250000026484867072.000000
20 497579250000000010527178752.000000
21 507148081749999994569490432.000000
22 516716913500000047331278848.000000
23 526285745250000031373590528.000000
24 535854577000000015415902208.000000
25 545423408749999999458213888.000000
26 554992240499999983500525568.000000
27 564561072250000036262313984.000000
28 574129904000000020304625664.000000
